;test_accuracy;Epoch;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;32.27;0;0.109375;0.234375;0.21875;0.2578125;0.203125;0.19140625;0.13671875;0.09765625;0.046875;0.033203125;0.03125;0.03125;0.033203125;0.03125;0.029296875;0.01953125;0.2;0.109375;0.234375;0.21875;0.234375;0.15625;0.125;0.08203125;0.0625;0.02734375;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.01953125;0.015625;0.2
1;44.11;1;0.109375;0.28125;0.2265625;0.28125;0.1953125;0.1796875;0.12109375;0.09375;0.046875;0.03515625;0.033203125;0.033203125;0.03125;0.033203125;0.033203125;0.0234375;0.3;0.109375;0.265625;0.2265625;0.2734375;0.17578125;0.1640625;0.10546875;0.08203125;0.0390625;0.03125;0.029296875;0.029296875;0.029296875;0.029296875;0.02734375;0.01953125;0.3
2;52.24;2;0.109375;0.328125;0.265625;0.3359375;0.21484375;0.1875;0.12890625;0.09765625;0.046875;0.03515625;0.029296875;0.029296875;0.029296875;0.03125;0.033203125;0.029296875;0.4;0.125;0.3125;0.265625;0.3203125;0.203125;0.171875;0.109375;0.08203125;0.0390625;0.033203125;0.02734375;0.025390625;0.025390625;0.02734375;0.029296875;0.025390625;0.3
3;66.47;3;0.125;0.359375;0.2890625;0.375;0.23046875;0.20703125;0.13671875;0.1015625;0.05078125;0.03515625;0.02734375;0.02734375;0.02734375;0.029296875;0.03125;0.033203125;0.5;0.125;0.34375;0.2890625;0.359375;0.21875;0.18359375;0.1171875;0.08984375;0.04296875;0.033203125;0.025390625;0.0234375;0.0234375;0.025390625;0.02734375;0.02734375;0.4
4;69.86;4;0.125;0.359375;0.3125;0.4140625;0.2578125;0.234375;0.15234375;0.10546875;0.05078125;0.037109375;0.02734375;0.02734375;0.02734375;0.029296875;0.03125;0.037109375;0.5;0.125;0.359375;0.3125;0.3828125;0.2421875;0.21484375;0.12890625;0.08984375;0.041015625;0.029296875;0.0234375;0.0234375;0.0234375;0.025390625;0.02734375;0.029296875;0.4
5;69.65;5;0.125;0.359375;0.3359375;0.4453125;0.2890625;0.26171875;0.16015625;0.11328125;0.05078125;0.03515625;0.025390625;0.025390625;0.025390625;0.02734375;0.029296875;0.037109375;0.5;0.125;0.359375;0.328125;0.4296875;0.2734375;0.2421875;0.140625;0.1015625;0.04296875;0.03125;0.0234375;0.0234375;0.0234375;0.025390625;0.02734375;0.03125;0.4
6;71.95;6;0.125;0.375;0.3515625;0.4765625;0.3203125;0.2890625;0.171875;0.11328125;0.052734375;0.037109375;0.02734375;0.025390625;0.025390625;0.02734375;0.029296875;0.037109375;0.5;0.140625;0.375;0.34375;0.4453125;0.296875;0.26171875;0.15625;0.1015625;0.044921875;0.033203125;0.025390625;0.0234375;0.0234375;0.025390625;0.029296875;0.033203125;0.4
7;74.44;7;0.125;0.390625;0.3671875;0.484375;0.34765625;0.31640625;0.1875;0.12890625;0.0546875;0.037109375;0.025390625;0.025390625;0.0234375;0.025390625;0.029296875;0.037109375;0.6;0.140625;0.390625;0.359375;0.46875;0.3203125;0.28515625;0.16015625;0.109375;0.044921875;0.03125;0.0234375;0.021484375;0.021484375;0.0234375;0.02734375;0.033203125;0.5
8;76.52;8;0.140625;0.40625;0.3828125;0.5078125;0.37109375;0.34765625;0.19921875;0.1328125;0.0546875;0.037109375;0.025390625;0.025390625;0.0234375;0.025390625;0.029296875;0.037109375;0.6;0.140625;0.40625;0.3671875;0.484375;0.3359375;0.30859375;0.171875;0.11328125;0.046875;0.03515625;0.0234375;0.0234375;0.021484375;0.0234375;0.025390625;0.033203125;0.5
9;76.71;9;0.140625;0.40625;0.3828125;0.5234375;0.38671875;0.35546875;0.203125;0.13671875;0.056640625;0.0390625;0.025390625;0.025390625;0.0234375;0.025390625;0.029296875;0.037109375;0.6;0.140625;0.40625;0.375;0.5;0.35546875;0.32421875;0.17578125;0.1171875;0.044921875;0.033203125;0.0234375;0.0234375;0.021484375;0.025390625;0.02734375;0.03125;0.5
10;79.26;10;0.140625;0.40625;0.390625;0.5390625;0.41015625;0.3828125;0.21484375;0.140625;0.05859375;0.0390625;0.0234375;0.0234375;0.0234375;0.025390625;0.02734375;0.03515625;0.7;0.140625;0.40625;0.375;0.515625;0.375;0.33984375;0.18359375;0.12109375;0.048828125;0.03515625;0.021484375;0.021484375;0.01953125;0.021484375;0.025390625;0.03125;0.5
11;74.43;11;0.140625;0.40625;0.3984375;0.546875;0.421875;0.3984375;0.22265625;0.140625;0.05859375;0.0390625;0.025390625;0.0234375;0.0234375;0.02734375;0.029296875;0.033203125;0.7;0.140625;0.421875;0.390625;0.5078125;0.37890625;0.36328125;0.2109375;0.1328125;0.048828125;0.033203125;0.021484375;0.021484375;0.021484375;0.0234375;0.025390625;0.029296875;0.5
12;77.7;12;0.140625;0.421875;0.40625;0.5546875;0.4296875;0.4140625;0.23828125;0.15234375;0.05859375;0.0390625;0.0234375;0.0234375;0.0234375;0.0234375;0.025390625;0.029296875;0.6;0.140625;0.421875;0.390625;0.5234375;0.390625;0.3671875;0.2109375;0.125;0.046875;0.033203125;0.021484375;0.01953125;0.01953125;0.021484375;0.0234375;0.0234375;0.5
13;81.31;13;0.140625;0.40625;0.4140625;0.5703125;0.453125;0.43359375;0.24609375;0.15625;0.060546875;0.0390625;0.0234375;0.021484375;0.021484375;0.0234375;0.02734375;0.02734375;0.6;0.140625;0.421875;0.390625;0.546875;0.4140625;0.390625;0.21875;0.12890625;0.046875;0.03515625;0.021484375;0.021484375;0.01953125;0.021484375;0.025390625;0.0234375;0.5
14;79.15;14;0.140625;0.421875;0.4296875;0.578125;0.4609375;0.4453125;0.2578125;0.15625;0.0625;0.041015625;0.0234375;0.021484375;0.021484375;0.0234375;0.025390625;0.025390625;0.7;0.15625;0.421875;0.40625;0.5546875;0.41796875;0.390625;0.2265625;0.1328125;0.05078125;0.03515625;0.0234375;0.021484375;0.021484375;0.0234375;0.025390625;0.0234375;0.5
15;80.54;15;0.140625;0.4375;0.421875;0.578125;0.47265625;0.453125;0.265625;0.1640625;0.0625;0.0390625;0.0234375;0.021484375;0.021484375;0.0234375;0.025390625;0.0234375;0.7;0.15625;0.4375;0.4140625;0.5546875;0.4375;0.4140625;0.2421875;0.140625;0.05078125;0.033203125;0.021484375;0.01953125;0.01953125;0.021484375;0.0234375;0.021484375;0.5
16;79.08;16;0.140625;0.421875;0.4296875;0.5859375;0.48046875;0.46484375;0.27734375;0.16796875;0.0625;0.041015625;0.021484375;0.021484375;0.021484375;0.0234375;0.025390625;0.021484375;0.7;0.15625;0.421875;0.40625;0.5546875;0.43359375;0.41015625;0.23046875;0.1328125;0.05078125;0.033203125;0.01953125;0.01953125;0.021484375;0.0234375;0.0234375;0.01953125;0.5
17;78.18;17;0.140625;0.4375;0.4375;0.59375;0.49609375;0.4765625;0.28125;0.17578125;0.064453125;0.0390625;0.021484375;0.021484375;0.021484375;0.0234375;0.025390625;0.01953125;0.7;0.15625;0.4375;0.4140625;0.5625;0.4453125;0.421875;0.25390625;0.15625;0.05078125;0.03515625;0.021484375;0.017578125;0.017578125;0.021484375;0.0234375;0.015625;0.5
18;80.27;18;0.140625;0.4375;0.4375;0.6015625;0.4921875;0.484375;0.2890625;0.171875;0.064453125;0.041015625;0.021484375;0.021484375;0.021484375;0.0234375;0.025390625;0.01953125;0.7;0.15625;0.4375;0.4140625;0.5703125;0.4453125;0.42578125;0.25390625;0.13671875;0.05078125;0.03515625;0.021484375;0.01953125;0.01953125;0.021484375;0.0234375;0.01953125;0.5
19;81.42;19;0.15625;0.4375;0.4453125;0.6015625;0.5078125;0.49609375;0.30859375;0.1875;0.068359375;0.041015625;0.021484375;0.01953125;0.01953125;0.0234375;0.025390625;0.01953125;0.7;0.15625;0.4375;0.4296875;0.578125;0.46484375;0.44921875;0.27734375;0.16015625;0.056640625;0.037109375;0.021484375;0.01953125;0.017578125;0.021484375;0.021484375;0.015625;0.5
20;76.23;20;0.15625;0.4375;0.4296875;0.6015625;0.50390625;0.49609375;0.296875;0.17578125;0.06640625;0.041015625;0.01953125;0.01953125;0.01953125;0.0234375;0.025390625;0.017578125;0.7;0.15625;0.4375;0.421875;0.578125;0.4609375;0.44921875;0.265625;0.15625;0.0546875;0.033203125;0.01953125;0.01953125;0.01953125;0.021484375;0.0234375;0.017578125;0.5
21;81.26;21;0.15625;0.453125;0.453125;0.6015625;0.51953125;0.5078125;0.3046875;0.18359375;0.06640625;0.0390625;0.01953125;0.01953125;0.01953125;0.021484375;0.0234375;0.017578125;0.7;0.15625;0.453125;0.4296875;0.578125;0.47265625;0.453125;0.27734375;0.1640625;0.05859375;0.03515625;0.01953125;0.017578125;0.017578125;0.021484375;0.021484375;0.015625;0.5
22;77.99;22;0.15625;0.4375;0.4375;0.6015625;0.5234375;0.51171875;0.30859375;0.17578125;0.064453125;0.0390625;0.01953125;0.01953125;0.01953125;0.0234375;0.0234375;0.017578125;0.6;0.15625;0.453125;0.421875;0.578125;0.4765625;0.4609375;0.2734375;0.1484375;0.05078125;0.033203125;0.021484375;0.01953125;0.01953125;0.021484375;0.0234375;0.013671875;0.5
23;83.85;23;0.15625;0.4375;0.4453125;0.609375;0.5234375;0.515625;0.3203125;0.1875;0.06640625;0.0390625;0.01953125;0.01953125;0.01953125;0.021484375;0.0234375;0.017578125;0.7;0.15625;0.4375;0.4296875;0.5859375;0.4765625;0.46875;0.2890625;0.15234375;0.05078125;0.03515625;0.01953125;0.017578125;0.017578125;0.021484375;0.021484375;0.013671875;0.5
24;81.39;24;0.15625;0.4375;0.4453125;0.609375;0.52734375;0.5234375;0.328125;0.1875;0.068359375;0.041015625;0.017578125;0.017578125;0.017578125;0.021484375;0.021484375;0.017578125;0.7;0.15625;0.453125;0.4296875;0.59375;0.48046875;0.47265625;0.2890625;0.15234375;0.05078125;0.033203125;0.01953125;0.017578125;0.017578125;0.01953125;0.01953125;0.013671875;0.5
25;82.69;25;0.15625;0.4375;0.4453125;0.609375;0.53125;0.53515625;0.33984375;0.1953125;0.0703125;0.0390625;0.01953125;0.01953125;0.01953125;0.0234375;0.0234375;0.015625;0.7;0.15625;0.453125;0.4375;0.59375;0.484375;0.4765625;0.296875;0.16015625;0.052734375;0.033203125;0.01953125;0.017578125;0.017578125;0.021484375;0.021484375;0.013671875;0.5
26;80.38;26;0.15625;0.4375;0.4609375;0.6171875;0.5390625;0.5390625;0.34375;0.19921875;0.0703125;0.0390625;0.017578125;0.017578125;0.01953125;0.021484375;0.021484375;0.017578125;0.7;0.15625;0.4375;0.4375;0.59375;0.48828125;0.48046875;0.30078125;0.171875;0.0546875;0.033203125;0.017578125;0.017578125;0.017578125;0.021484375;0.021484375;0.013671875;0.5
27;79.94;27;0.15625;0.4375;0.4609375;0.625;0.5390625;0.5390625;0.34765625;0.19921875;0.0703125;0.041015625;0.017578125;0.017578125;0.017578125;0.021484375;0.021484375;0.015625;0.7;0.15625;0.453125;0.4375;0.59375;0.48828125;0.4765625;0.2890625;0.15234375;0.048828125;0.033203125;0.017578125;0.017578125;0.01953125;0.021484375;0.021484375;0.013671875;0.5
28;82.95;28;0.15625;0.453125;0.453125;0.6171875;0.54296875;0.546875;0.35546875;0.203125;0.0703125;0.0390625;0.017578125;0.017578125;0.017578125;0.021484375;0.021484375;0.015625;0.7;0.15625;0.453125;0.4296875;0.5859375;0.49609375;0.4921875;0.3203125;0.17578125;0.0546875;0.033203125;0.017578125;0.015625;0.017578125;0.01953125;0.01953125;0.013671875;0.5
29;81.29;29;0.15625;0.4375;0.453125;0.6171875;0.5390625;0.54296875;0.35546875;0.203125;0.0703125;0.0390625;0.017578125;0.015625;0.017578125;0.021484375;0.021484375;0.015625;0.7;0.15625;0.453125;0.4375;0.59375;0.48828125;0.48828125;0.31640625;0.17578125;0.056640625;0.033203125;0.017578125;0.015625;0.017578125;0.01953125;0.01953125;0.013671875;0.5
30;80.02;30;0.15625;0.453125;0.46875;0.625;0.546875;0.546875;0.3515625;0.1953125;0.0703125;0.0390625;0.017578125;0.017578125;0.017578125;0.021484375;0.021484375;0.015625;0.7;0.15625;0.453125;0.453125;0.59375;0.49609375;0.48828125;0.30859375;0.16015625;0.05078125;0.03125;0.017578125;0.015625;0.017578125;0.01953125;0.021484375;0.013671875;0.5
31;81.96;31;0.15625;0.453125;0.4765625;0.6328125;0.55859375;0.56640625;0.3671875;0.20703125;0.072265625;0.0390625;0.017578125;0.015625;0.017578125;0.01953125;0.01953125;0.015625;0.7;0.15625;0.453125;0.453125;0.6015625;0.50390625;0.49609375;0.3203125;0.17578125;0.0546875;0.033203125;0.017578125;0.015625;0.017578125;0.01953125;0.01953125;0.01171875;0.5
32;79.83;32;0.15625;0.453125;0.4609375;0.625;0.55859375;0.5703125;0.375;0.22265625;0.07421875;0.0390625;0.017578125;0.015625;0.015625;0.017578125;0.021484375;0.015625;0.7;0.15625;0.4375;0.4453125;0.59375;0.49609375;0.5;0.33203125;0.1875;0.056640625;0.029296875;0.015625;0.013671875;0.015625;0.017578125;0.01953125;0.01171875;0.5
33;83.24;33;0.15625;0.453125;0.46875;0.625;0.5546875;0.5625;0.3671875;0.2109375;0.07421875;0.041015625;0.017578125;0.015625;0.017578125;0.01953125;0.01953125;0.015625;0.7;0.15625;0.453125;0.4453125;0.6015625;0.50390625;0.50390625;0.33203125;0.1796875;0.052734375;0.033203125;0.017578125;0.015625;0.017578125;0.01953125;0.01953125;0.01171875;0.5
34;82.53;34;0.15625;0.453125;0.46875;0.6328125;0.5546875;0.5703125;0.375;0.2109375;0.0703125;0.0390625;0.015625;0.013671875;0.015625;0.017578125;0.01953125;0.015625;0.7;0.15625;0.453125;0.453125;0.6015625;0.50390625;0.51171875;0.3359375;0.1875;0.052734375;0.03125;0.017578125;0.013671875;0.015625;0.01953125;0.021484375;0.01171875;0.5
35;82.54;35;0.15625;0.4375;0.4609375;0.625;0.55859375;0.5703125;0.375;0.2109375;0.07421875;0.0390625;0.015625;0.013671875;0.015625;0.01953125;0.01953125;0.015625;0.7;0.15625;0.4375;0.4375;0.6015625;0.50390625;0.5078125;0.328125;0.18359375;0.0546875;0.03125;0.015625;0.013671875;0.015625;0.017578125;0.01953125;0.01171875;0.5
36;81.99;36;0.15625;0.453125;0.46875;0.640625;0.5703125;0.58203125;0.38671875;0.2265625;0.076171875;0.0390625;0.017578125;0.013671875;0.015625;0.01953125;0.01953125;0.013671875;0.7;0.15625;0.4375;0.4453125;0.6171875;0.51171875;0.51171875;0.33984375;0.1796875;0.056640625;0.03125;0.017578125;0.013671875;0.015625;0.01953125;0.021484375;0.01171875;0.5
