;test_accuracy;Epoch;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;49.96;0;0.125;0.65625;0.765625;0.828125;0.4921875;0.3984375;0.23828125;0.1171875;0.01171875;0.017578125;0.01953125;0.021484375;0.0234375;0.0234375;0.01953125;0.013671875;0.4;0.125;0.671875;0.6875;0.7265625;0.1875;0.16796875;0.125;0.09375;0.009765625;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.01171875;0.01171875;0.3
1;57.04;1;0.140625;0.625;0.734375;0.7890625;0.48046875;0.35546875;0.17578125;0.109375;0.01171875;0.013671875;0.015625;0.017578125;0.01953125;0.021484375;0.017578125;0.013671875;0.5;0.140625;0.625;0.6484375;0.6875;0.18359375;0.15234375;0.10546875;0.08984375;0.009765625;0.01171875;0.01171875;0.01171875;0.01171875;0.013671875;0.01171875;0.01171875;0.3
2;65.09;2;0.140625;0.609375;0.6953125;0.765625;0.48828125;0.359375;0.16015625;0.1015625;0.01171875;0.013671875;0.015625;0.017578125;0.01953125;0.021484375;0.01953125;0.015625;0.5;0.140625;0.609375;0.6328125;0.6640625;0.18359375;0.15234375;0.109375;0.08984375;0.009765625;0.01171875;0.013671875;0.013671875;0.013671875;0.013671875;0.013671875;0.013671875;0.4
3;67.68;3;0.15625;0.609375;0.6875;0.7421875;0.4765625;0.328125;0.13671875;0.10546875;0.01171875;0.015625;0.015625;0.015625;0.017578125;0.01953125;0.017578125;0.015625;0.5;0.15625;0.609375;0.609375;0.640625;0.1875;0.1484375;0.10546875;0.0859375;0.01171875;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.013671875;0.013671875;0.5
4;68.18;4;0.15625;0.609375;0.6796875;0.7265625;0.4765625;0.33984375;0.13671875;0.10546875;0.01171875;0.013671875;0.015625;0.015625;0.017578125;0.01953125;0.01953125;0.015625;0.6;0.15625;0.625;0.6015625;0.6328125;0.1875;0.1484375;0.10546875;0.08203125;0.009765625;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.013671875;0.013671875;0.4
5;72.47;5;0.15625;0.609375;0.6796875;0.7109375;0.4609375;0.296875;0.12890625;0.10546875;0.01171875;0.013671875;0.015625;0.015625;0.017578125;0.017578125;0.01953125;0.015625;0.6;0.15625;0.609375;0.6015625;0.6171875;0.18359375;0.140625;0.10546875;0.08984375;0.01171875;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.013671875;0.013671875;0.5
6;75.2;6;0.15625;0.609375;0.6640625;0.6953125;0.46875;0.3125;0.1328125;0.11328125;0.013671875;0.015625;0.015625;0.015625;0.017578125;0.017578125;0.01953125;0.017578125;0.7;0.15625;0.609375;0.59375;0.609375;0.1875;0.14453125;0.10546875;0.0859375;0.01171875;0.01171875;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.013671875;0.5
7;72.19;7;0.15625;0.625;0.6640625;0.6875;0.44921875;0.2734375;0.12890625;0.11328125;0.013671875;0.013671875;0.013671875;0.015625;0.015625;0.017578125;0.017578125;0.017578125;0.7;0.15625;0.625;0.59375;0.609375;0.1875;0.140625;0.10546875;0.08984375;0.01171875;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.013671875;0.013671875;0.5
8;74.33;8;0.15625;0.609375;0.671875;0.6953125;0.4453125;0.26953125;0.12890625;0.109375;0.01171875;0.013671875;0.013671875;0.015625;0.017578125;0.01953125;0.01953125;0.017578125;0.6;0.15625;0.609375;0.59375;0.609375;0.18359375;0.13671875;0.10546875;0.08984375;0.009765625;0.01171875;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.013671875;0.5
9;76.76;9;0.15625;0.609375;0.671875;0.6875;0.45703125;0.2890625;0.1328125;0.11328125;0.013671875;0.013671875;0.015625;0.015625;0.017578125;0.01953125;0.01953125;0.01953125;0.7;0.171875;0.609375;0.59375;0.609375;0.1875;0.14453125;0.10546875;0.08984375;0.009765625;0.01171875;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.013671875;0.5
