;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;0;24.89;0.046875;0.171875;0.1640625;0.2109375;0.01953125;0.01171875;0.01171875;0.01171875;0.0;0.001953125;0.001953125;0.00390625;0.00390625;0.00390625;0.00390625;0.001953125;0.2;0.046875;0.15625;0.1484375;0.1796875;0.015625;0.01171875;0.01171875;0.01171875;0.0;0.001953125;0.00390625;0.00390625;0.00390625;0.005859375;0.005859375;0.00390625;0.1
1;1;35.96;0.0625;0.265625;0.2421875;0.28125;0.02734375;0.01171875;0.01171875;0.01171875;0.0;0.001953125;0.001953125;0.00390625;0.00390625;0.005859375;0.005859375;0.00390625;0.3;0.046875;0.234375;0.2265625;0.2421875;0.0234375;0.01171875;0.01171875;0.01171875;0.0;0.0;0.0;0.001953125;0.001953125;0.001953125;0.001953125;0.001953125;0.3
2;2;41.53;0.078125;0.3125;0.3359375;0.3984375;0.0390625;0.01953125;0.01171875;0.01171875;0.0;0.001953125;0.001953125;0.00390625;0.005859375;0.005859375;0.005859375;0.005859375;0.3;0.078125;0.3125;0.3203125;0.3359375;0.03515625;0.01953125;0.01171875;0.01171875;0.0;0.001953125;0.001953125;0.00390625;0.00390625;0.005859375;0.005859375;0.005859375;0.3
3;3;44.34;0.09375;0.359375;0.390625;0.4375;0.05078125;0.0234375;0.01171875;0.01171875;0.0;0.001953125;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.0078125;0.4;0.09375;0.359375;0.3671875;0.375;0.0546875;0.0234375;0.01171875;0.01171875;0.0;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.009765625;0.009765625;0.4
4;4;55.29;0.09375;0.40625;0.421875;0.4609375;0.08203125;0.03515625;0.015625;0.01171875;0.0;0.00390625;0.00390625;0.005859375;0.0078125;0.0078125;0.009765625;0.009765625;0.4;0.09375;0.40625;0.4140625;0.4453125;0.07421875;0.03125;0.01171875;0.01171875;0.0;0.00390625;0.00390625;0.005859375;0.0078125;0.0078125;0.009765625;0.01171875;0.4
5;5;53.81;0.109375;0.421875;0.4453125;0.4609375;0.09375;0.0390625;0.01953125;0.01171875;0.0;0.00390625;0.00390625;0.005859375;0.0078125;0.0078125;0.009765625;0.01171875;0.5;0.109375;0.421875;0.4296875;0.4296875;0.0859375;0.0390625;0.015625;0.01171875;0.0;0.00390625;0.00390625;0.005859375;0.0078125;0.0078125;0.009765625;0.009765625;0.4
6;6;57.98;0.109375;0.4375;0.46875;0.5078125;0.11328125;0.05078125;0.0234375;0.015625;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.009765625;0.01171875;0.5;0.109375;0.4375;0.4609375;0.46875;0.1015625;0.05078125;0.0234375;0.015625;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.009765625;0.01171875;0.5
7;7;56.8;0.109375;0.4375;0.4765625;0.5;0.11328125;0.0625;0.03125;0.01953125;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.009765625;0.013671875;0.5;0.125;0.4375;0.4609375;0.4921875;0.11328125;0.0546875;0.0234375;0.015625;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.009765625;0.01171875;0.5
8;8;59.33;0.125;0.4375;0.484375;0.5078125;0.125;0.0703125;0.03125;0.01953125;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.009765625;0.013671875;0.5;0.125;0.453125;0.46875;0.484375;0.11328125;0.06640625;0.03125;0.01953125;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.009765625;0.013671875;0.5
9;9;60.29;0.125;0.46875;0.5;0.5078125;0.12890625;0.07421875;0.03515625;0.0234375;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.125;0.46875;0.4765625;0.5;0.12109375;0.07421875;0.03515625;0.0234375;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.5
10;10;60.22;0.125;0.46875;0.5;0.4921875;0.12890625;0.078125;0.0390625;0.0234375;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.015625;0.6;0.140625;0.484375;0.4765625;0.4765625;0.12109375;0.078125;0.03515625;0.01953125;0.001953125;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.5
11;11;57.16;0.125;0.484375;0.5078125;0.515625;0.13671875;0.0859375;0.04296875;0.03515625;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.140625;0.484375;0.4921875;0.5;0.13671875;0.08984375;0.046875;0.03515625;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6
12;12;63.69;0.140625;0.5;0.53125;0.546875;0.1484375;0.09765625;0.046875;0.03515625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.140625;0.5;0.5234375;0.53125;0.1328125;0.09375;0.046875;0.03515625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.5
13;13;64.61;0.140625;0.515625;0.5625;0.5546875;0.15625;0.10546875;0.046875;0.0390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6;0.140625;0.515625;0.5390625;0.546875;0.14453125;0.1015625;0.046875;0.0390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.01171875;0.013671875;0.6
14;14;71.59;0.140625;0.515625;0.5703125;0.578125;0.1484375;0.10546875;0.04296875;0.0390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.0078125;0.01171875;0.015625;0.6;0.140625;0.515625;0.5546875;0.578125;0.15234375;0.109375;0.04296875;0.0390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.01171875;0.013671875;0.6
15;15;65.27;0.140625;0.546875;0.5859375;0.5859375;0.1640625;0.109375;0.04296875;0.0390625;0.00390625;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.01171875;0.015625;0.6;0.140625;0.546875;0.578125;0.5703125;0.15234375;0.109375;0.04296875;0.0390625;0.00390625;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.01171875;0.013671875;0.6
16;16;61.84;0.140625;0.53125;0.59375;0.6015625;0.16015625;0.109375;0.04296875;0.03515625;0.00390625;0.00390625;0.005859375;0.005859375;0.005859375;0.0078125;0.01171875;0.015625;0.6;0.140625;0.53125;0.5703125;0.5859375;0.16015625;0.10546875;0.04296875;0.03515625;0.00390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.015625;0.5
17;17;70.25;0.140625;0.546875;0.609375;0.609375;0.171875;0.109375;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.01171875;0.015625;0.6;0.140625;0.53125;0.59375;0.609375;0.16015625;0.10546875;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.009765625;0.015625;0.6
18;18;59.87;0.140625;0.546875;0.6171875;0.6171875;0.15625;0.109375;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.005859375;0.005859375;0.0078125;0.01171875;0.015625;0.6;0.140625;0.546875;0.6015625;0.609375;0.15234375;0.1015625;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.01171875;0.013671875;0.5
19;19;70.76;0.140625;0.5625;0.6328125;0.6328125;0.18359375;0.1171875;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.01171875;0.015625;0.6;0.140625;0.5625;0.609375;0.6171875;0.17578125;0.11328125;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.01171875;0.015625;0.6
20;20;69.71;0.140625;0.5625;0.6171875;0.625;0.1796875;0.11328125;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.01171875;0.015625;0.6;0.140625;0.5625;0.6015625;0.625;0.171875;0.11328125;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.009765625;0.015625;0.6
21;21;72.66;0.140625;0.578125;0.6328125;0.6328125;0.18359375;0.12109375;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.005859375;0.01171875;0.015625;0.6;0.15625;0.578125;0.6171875;0.640625;0.1796875;0.1171875;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.005859375;0.01171875;0.015625;0.6
22;22;64.44;0.140625;0.578125;0.6328125;0.640625;0.1796875;0.1171875;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.0078125;0.01171875;0.015625;0.6;0.140625;0.578125;0.609375;0.6328125;0.16796875;0.1171875;0.04296875;0.03515625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.0078125;0.009765625;0.015625;0.6
23;23;61.28;0.140625;0.59375;0.640625;0.640625;0.1796875;0.1171875;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.01171875;0.015625;0.6;0.15625;0.59375;0.625;0.640625;0.1796875;0.1171875;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.013671875;0.6
24;24;69.09;0.140625;0.578125;0.640625;0.65625;0.19140625;0.1171875;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.6;0.15625;0.59375;0.625;0.6640625;0.18359375;0.1171875;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.6
25;25;64.28;0.140625;0.59375;0.65625;0.6640625;0.19140625;0.125;0.04296875;0.0390625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.7;0.15625;0.59375;0.6328125;0.65625;0.18359375;0.11328125;0.04296875;0.03515625;0.00390625;0.00390625;0.00390625;0.00390625;0.00390625;0.005859375;0.009765625;0.015625;0.6
