Epoch,test accuracy,training accuracy
0,25.11,"(21.88, 10940, 50000)"
1,30.88,"(28.036, 14018, 50000)"
2,39.36,"(34.548, 17274, 50000)"
3,42.81,"(41.044, 20522, 50000)"
4,39.76,"(47.402, 23701, 50000)"
5,49.73,"(51.742, 25871, 50000)"
6,36.53,"(54.112, 27056, 50000)"
7,55.93,"(56.598, 28299, 50000)"
8,55.16,"(57.814, 28907, 50000)"
9,55.77,"(59.29, 29645, 50000)"
10,58.05,"(60.578, 30289, 50000)"
11,54.39,"(63.214, 31607, 50000)"
12,60.78,"(64.82, 32410, 50000)"
13,54.46,"(66.022, 33011, 50000)"
14,63.26,"(66.628, 33314, 50000)"
15,61.72,"(67.354, 33677, 50000)"
16,66.23,"(68.042, 34021, 50000)"
17,66.98,"(68.766, 34383, 50000)"
18,64.6,"(69.124, 34562, 50000)"
19,66.82,"(69.594, 34797, 50000)"
20,59.77,"(69.582, 34791, 50000)"
21,66.01,"(70.244, 35122, 50000)"
22,57.52,"(70.36, 35180, 50000)"
23,62.7,"(70.29, 35145, 50000)"
24,67.33,"(70.634, 35317, 50000)"
25,64.16,"(71.194, 35597, 50000)"
26,60.51,"(70.914, 35457, 50000)"
27,62.1,"(71.134, 35567, 50000)"
28,53.71,"(71.288, 35644, 50000)"
29,57.33,"(71.54, 35770, 50000)"
30,64.12,"(71.986, 35993, 50000)"
31,60.77,"(72.14, 36070, 50000)"
32,64.96,"(72.052, 36026, 50000)"
33,67.05,"(72.396, 36198, 50000)"
34,63.74,"(72.452, 36226, 50000)"
35,47.78,"(72.306, 36153, 50000)"
36,65.31,"(72.362, 36181, 50000)"
37,64.99,"(72.818, 36409, 50000)"
38,67.58,"(72.634, 36317, 50000)"
39,64.98,"(72.732, 36366, 50000)"
40,62.58,"(72.928, 36464, 50000)"
41,61.37,"(72.92, 36460, 50000)"
42,41.96,"(73.174, 36587, 50000)"
43,68.92,"(73.236, 36618, 50000)"
44,62.76,"(72.926, 36463, 50000)"
45,51.59,"(73.648, 36824, 50000)"
46,66.85,"(73.256, 36628, 50000)"
47,44.51,"(73.416, 36708, 50000)"
48,69.56,"(73.79, 36895, 50000)"
49,59.37,"(73.424, 36712, 50000)"
50,68.55,"(73.86, 36930, 50000)"
51,63.32,"(73.7, 36850, 50000)"
52,60.48,"(73.932, 36966, 50000)"
53,48.95,"(73.99, 36995, 50000)"
54,69.89,"(74.132, 37066, 50000)"
55,53.71,"(73.908, 36954, 50000)"
56,57.46,"(74.222, 37111, 50000)"
57,50.8,"(74.266, 37133, 50000)"
58,59.32,"(74.67, 37335, 50000)"
59,54.67,"(73.932, 36966, 50000)"
60,58.31,"(74.276, 37138, 50000)"
61,63.54,"(74.622, 37311, 50000)"
62,56.05,"(74.694, 37347, 50000)"
63,61.28,"(74.836, 37418, 50000)"
64,62.05,"(74.768, 37384, 50000)"
65,70.45,"(74.9, 37450, 50000)"
66,68.02,"(74.9, 37450, 50000)"
67,71.57,"(75.192, 37596, 50000)"
68,68.06,"(74.91, 37455, 50000)"
69,67.4,"(75.104, 37552, 50000)"
70,49.11,"(75.408, 37704, 50000)"
71,63.54,"(75.458, 37729, 50000)"
72,56.03,"(75.528, 37764, 50000)"
73,66.27,"(75.506, 37753, 50000)"
74,72.66,"(75.954, 37977, 50000)"
75,58.51,"(75.672, 37836, 50000)"
76,48.83,"(76.094, 38047, 50000)"
77,74.18,"(76.146, 38073, 50000)"
78,53.78,"(75.622, 37811, 50000)"
79,49.43,"(76.12, 38060, 50000)"
80,58.45,"(76.334, 38167, 50000)"
81,60.96,"(76.214, 38107, 50000)"
82,56.41,"(76.55, 38275, 50000)"
83,66.21,"(76.39, 38195, 50000)"
84,66.78,"(76.494, 38247, 50000)"
85,52.29,"(76.526, 38263, 50000)"
86,63.1,"(76.57, 38285, 50000)"
87,69.89,"(76.97, 38485, 50000)"
88,63.67,"(77.098, 38549, 50000)"
89,74.08,"(76.862, 38431, 50000)"
90,70.59,"(77.296, 38648, 50000)"
91,71.61,"(77.078, 38539, 50000)"
92,55.82,"(77.272, 38636, 50000)"
93,59.5,"(77.3, 38650, 50000)"
94,67.01,"(77.408, 38704, 50000)"
95,72.97,"(77.904, 38952, 50000)"
96,69.06,"(77.576, 38788, 50000)"
97,71.71,"(78.318, 39159, 50000)"
98,69.73,"(78.24, 39120, 50000)"
99,66.85,"(78.166, 39083, 50000)"
100,56.42,"(78.362, 39181, 50000)"
101,61.73,"(78.274, 39137, 50000)"
102,72.1,"(78.416, 39208, 50000)"
103,70.28,"(78.562, 39281, 50000)"
104,51.72,"(78.732, 39366, 50000)"
105,75.3,"(78.978, 39489, 50000)"
106,69.37,"(79.032, 39516, 50000)"
107,69.0,"(78.854, 39427, 50000)"
108,57.89,"(79.394, 39697, 50000)"
109,70.69,"(79.132, 39566, 50000)"
110,75.64,"(79.59, 39795, 50000)"
111,51.14,"(79.398, 39699, 50000)"
112,66.1,"(79.928, 39964, 50000)"
113,73.12,"(79.752, 39876, 50000)"
114,70.26,"(79.928, 39964, 50000)"
115,61.81,"(80.094, 40047, 50000)"
116,64.03,"(80.048, 40024, 50000)"
117,56.17,"(80.162, 40081, 50000)"
118,75.49,"(80.088, 40044, 50000)"
119,73.93,"(80.686, 40343, 50000)"
120,73.32,"(80.62, 40310, 50000)"
121,65.14,"(80.82, 40410, 50000)"
122,71.32,"(81.024, 40512, 50000)"
123,67.84,"(80.884, 40442, 50000)"
124,60.83,"(80.97, 40485, 50000)"
125,71.51,"(81.212, 40606, 50000)"
126,71.12,"(81.506, 40753, 50000)"
127,78.88,"(81.928, 40964, 50000)"
128,76.76,"(82.122, 41061, 50000)"
129,72.16,"(81.988, 40994, 50000)"
130,62.43,"(82.494, 41247, 50000)"
131,74.41,"(82.238, 41119, 50000)"
132,75.65,"(82.864, 41432, 50000)"
133,76.03,"(82.712, 41356, 50000)"
134,79.15,"(82.666, 41333, 50000)"
135,78.54,"(82.784, 41392, 50000)"
136,72.77,"(82.962, 41481, 50000)"
137,78.49,"(83.096, 41548, 50000)"
138,80.97,"(83.362, 41681, 50000)"
139,79.11,"(83.562, 41781, 50000)"
140,73.1,"(83.614, 41807, 50000)"
141,76.95,"(83.882, 41941, 50000)"
142,77.59,"(84.172, 42086, 50000)"
143,78.05,"(84.518, 42259, 50000)"
144,81.07,"(84.39, 42195, 50000)"
145,80.12,"(84.578, 42289, 50000)"
146,80.26,"(84.902, 42451, 50000)"
147,79.66,"(84.798, 42399, 50000)"
148,80.6,"(85.192, 42596, 50000)"
149,80.32,"(85.138, 42569, 50000)"
150,82.49,"(85.664, 42832, 50000)"
151,79.04,"(85.768, 42884, 50000)"
152,79.01,"(86.134, 43067, 50000)"
153,79.21,"(86.254, 43127, 50000)"
154,82.29,"(86.3, 43150, 50000)"
155,81.28,"(86.612, 43306, 50000)"
156,81.89,"(86.85, 43425, 50000)"
157,81.86,"(86.968, 43484, 50000)"
158,82.43,"(87.18, 43590, 50000)"
159,82.71,"(87.572, 43786, 50000)"
160,81.77,"(87.764, 43882, 50000)"
161,83.5,"(87.986, 43993, 50000)"
162,83.22,"(88.172, 44086, 50000)"
163,82.95,"(88.422, 44211, 50000)"
164,83.3,"(88.772, 44386, 50000)"
165,83.37,"(88.89, 44445, 50000)"
166,83.04,"(89.3, 44650, 50000)"
167,80.24,"(89.484, 44742, 50000)"
168,83.85,"(89.714, 44857, 50000)"
169,83.55,"(89.854, 44927, 50000)"
170,84.34,"(90.286, 45143, 50000)"
171,84.32,"(90.362, 45181, 50000)"
172,84.62,"(90.702, 45351, 50000)"
173,84.49,"(90.97, 45485, 50000)"
174,84.42,"(91.22, 45610, 50000)"
175,85.31,"(91.484, 45742, 50000)"
176,85.17,"(91.624, 45812, 50000)"
177,85.17,"(91.964, 45982, 50000)"
178,84.67,"(91.976, 45988, 50000)"
179,85.64,"(92.326, 46163, 50000)"
180,85.57,"(92.504, 46252, 50000)"
181,85.31,"(92.966, 46483, 50000)"
182,85.93,"(93.124, 46562, 50000)"
183,85.98,"(93.358, 46679, 50000)"
184,85.76,"(93.522, 46761, 50000)"
185,85.97,"(93.926, 46963, 50000)"
186,85.65,"(93.986, 46993, 50000)"
187,85.91,"(94.262, 47131, 50000)"
188,85.78,"(94.338, 47169, 50000)"
189,86.02,"(94.606, 47303, 50000)"
190,86.24,"(94.654, 47327, 50000)"
191,85.95,"(94.712, 47356, 50000)"
192,86.45,"(94.846, 47423, 50000)"
193,86.31,"(94.98, 47490, 50000)"
194,86.46,"(95.154, 47577, 50000)"
195,86.34,"(95.218, 47609, 50000)"
196,86.38,"(95.208, 47604, 50000)"
197,86.21,"(95.164, 47582, 50000)"
198,86.27,"(95.354, 47677, 50000)"
199,86.33,"(95.352, 47676, 50000)"
