Epoch,test accuracy,training accuracy
0,29.2,"(21.17, 10585, 50000)"
1,36.21,"(33.43, 16715, 50000)"
2,40.19,"(40.214, 20107, 50000)"
3,47.13,"(45.248, 22624, 50000)"
4,48.08,"(50.306, 25153, 50000)"
5,50.9,"(55.182, 27591, 50000)"
6,56.62,"(58.36, 29180, 50000)"
7,53.91,"(60.178, 30089, 50000)"
8,45.48,"(61.056, 30528, 50000)"
9,58.22,"(62.134, 31067, 50000)"
10,61.36,"(63.744, 31872, 50000)"
11,67.67,"(66.866, 33433, 50000)"
12,66.85,"(68.038, 34019, 50000)"
13,68.64,"(69.328, 34664, 50000)"
14,66.1,"(69.7, 34850, 50000)"
15,68.53,"(70.232, 35116, 50000)"
16,65.97,"(71.76, 35880, 50000)"
17,68.18,"(71.59, 35795, 50000)"
18,68.02,"(72.228, 36114, 50000)"
19,68.38,"(72.528, 36264, 50000)"
20,66.04,"(72.69, 36345, 50000)"
21,68.52,"(73.06, 36530, 50000)"
22,65.5,"(73.276, 36638, 50000)"
23,73.66,"(73.526, 36763, 50000)"
24,66.73,"(73.658, 36829, 50000)"
25,68.25,"(73.732, 36866, 50000)"
26,70.1,"(73.658, 36829, 50000)"
27,73.19,"(74.566, 37283, 50000)"
28,72.51,"(74.382, 37191, 50000)"
29,71.98,"(74.346, 37173, 50000)"
30,71.83,"(74.774, 37387, 50000)"
31,63.32,"(75.006, 37503, 50000)"
32,69.29,"(74.806, 37403, 50000)"
33,61.23,"(74.734, 37367, 50000)"
34,68.68,"(74.852, 37426, 50000)"
35,67.6,"(75.036, 37518, 50000)"
36,62.07,"(75.13, 37565, 50000)"
37,70.16,"(75.292, 37646, 50000)"
38,51.27,"(75.232, 37616, 50000)"
39,65.68,"(75.364, 37682, 50000)"
40,67.08,"(75.858, 37929, 50000)"
41,72.45,"(75.832, 37916, 50000)"
42,74.22,"(76.072, 38036, 50000)"
43,48.37,"(76.344, 38172, 50000)"
44,69.7,"(76.056, 38028, 50000)"
45,67.45,"(76.53, 38265, 50000)"
46,59.24,"(76.07, 38035, 50000)"
47,68.1,"(76.11, 38055, 50000)"
48,67.96,"(75.8, 37900, 50000)"
49,61.43,"(76.408, 38204, 50000)"
50,64.41,"(76.188, 38094, 50000)"
51,70.75,"(76.756, 38378, 50000)"
52,64.49,"(76.69, 38345, 50000)"
53,65.35,"(76.85, 38425, 50000)"
54,68.05,"(76.9, 38450, 50000)"
55,59.5,"(76.8, 38400, 50000)"
56,55.86,"(76.71, 38355, 50000)"
57,48.76,"(76.79, 38395, 50000)"
58,57.63,"(77.058, 38529, 50000)"
59,72.67,"(76.824, 38412, 50000)"
60,74.79,"(77.522, 38761, 50000)"
61,65.18,"(77.31, 38655, 50000)"
62,69.97,"(77.444, 38722, 50000)"
63,72.44,"(77.666, 38833, 50000)"
64,49.8,"(77.216, 38608, 50000)"
65,67.65,"(77.592, 38796, 50000)"
66,71.28,"(77.866, 38933, 50000)"
67,56.2,"(77.628, 38814, 50000)"
68,65.78,"(77.916, 38958, 50000)"
69,67.73,"(78.03, 39015, 50000)"
70,76.15,"(77.986, 38993, 50000)"
71,46.15,"(78.108, 39054, 50000)"
72,63.86,"(77.886, 38943, 50000)"
73,43.72,"(78.546, 39273, 50000)"
74,70.96,"(78.422, 39211, 50000)"
75,68.77,"(78.3, 39150, 50000)"
76,74.15,"(78.432, 39216, 50000)"
77,70.88,"(78.87, 39435, 50000)"
78,72.05,"(78.732, 39366, 50000)"
79,71.12,"(78.736, 39368, 50000)"
80,76.99,"(79.106, 39553, 50000)"
81,77.42,"(78.842, 39421, 50000)"
82,77.07,"(78.838, 39419, 50000)"
83,67.33,"(78.996, 39498, 50000)"
84,76.92,"(79.194, 39597, 50000)"
85,54.85,"(79.604, 39802, 50000)"
86,70.91,"(79.39, 39695, 50000)"
87,62.81,"(79.364, 39682, 50000)"
88,73.45,"(79.58, 39790, 50000)"
89,70.97,"(79.974, 39987, 50000)"
90,72.75,"(79.71, 39855, 50000)"
91,69.35,"(79.858, 39929, 50000)"
92,74.21,"(80.03, 40015, 50000)"
93,61.61,"(80.34, 40170, 50000)"
94,72.73,"(80.084, 40042, 50000)"
95,77.54,"(80.506, 40253, 50000)"
96,61.31,"(80.358, 40179, 50000)"
97,73.65,"(80.47, 40235, 50000)"
98,74.89,"(80.946, 40473, 50000)"
99,74.48,"(80.884, 40442, 50000)"
100,63.1,"(81.014, 40507, 50000)"
101,78.25,"(80.93, 40465, 50000)"
102,71.84,"(81.222, 40611, 50000)"
103,73.54,"(81.16, 40580, 50000)"
104,77.24,"(81.404, 40702, 50000)"
105,75.72,"(81.62, 40810, 50000)"
106,76.17,"(81.372, 40686, 50000)"
107,61.48,"(81.662, 40831, 50000)"
108,72.93,"(81.848, 40924, 50000)"
109,65.23,"(82.028, 41014, 50000)"
110,77.6,"(82.168, 41084, 50000)"
111,74.21,"(82.126, 41063, 50000)"
112,70.63,"(81.942, 40971, 50000)"
113,71.17,"(82.676, 41338, 50000)"
114,77.25,"(82.55, 41275, 50000)"
115,75.88,"(82.902, 41451, 50000)"
116,56.91,"(82.922, 41461, 50000)"
117,76.24,"(83.294, 41647, 50000)"
118,74.98,"(82.964, 41482, 50000)"
119,73.34,"(83.326, 41663, 50000)"
120,74.58,"(83.478, 41739, 50000)"
121,80.2,"(83.764, 41882, 50000)"
122,75.87,"(83.986, 41993, 50000)"
123,75.05,"(83.792, 41896, 50000)"
124,75.92,"(83.986, 41993, 50000)"
125,78.28,"(84.352, 42176, 50000)"
126,68.57,"(84.202, 42101, 50000)"
127,77.7,"(84.332, 42166, 50000)"
128,77.39,"(84.522, 42261, 50000)"
129,79.13,"(84.702, 42351, 50000)"
130,76.02,"(85.026, 42513, 50000)"
131,70.66,"(84.976, 42488, 50000)"
132,76.85,"(85.07, 42535, 50000)"
133,71.25,"(85.394, 42697, 50000)"
134,81.32,"(85.634, 42817, 50000)"
135,81.19,"(85.886, 42943, 50000)"
136,78.32,"(85.794, 42897, 50000)"
137,81.81,"(86.198, 43099, 50000)"
138,81.52,"(86.174, 43087, 50000)"
139,80.48,"(86.394, 43197, 50000)"
140,73.53,"(86.652, 43326, 50000)"
141,80.09,"(86.664, 43332, 50000)"
142,80.51,"(87.0, 43500, 50000)"
143,80.92,"(87.33, 43665, 50000)"
144,80.93,"(87.128, 43564, 50000)"
145,81.16,"(87.512, 43756, 50000)"
146,80.56,"(87.528, 43764, 50000)"
147,83.04,"(87.758, 43879, 50000)"
148,75.0,"(88.154, 44077, 50000)"
149,83.19,"(88.174, 44087, 50000)"
150,83.78,"(88.292, 44146, 50000)"
151,84.42,"(88.554, 44277, 50000)"
152,83.35,"(88.82, 44410, 50000)"
153,84.2,"(88.974, 44487, 50000)"
154,83.15,"(89.128, 44564, 50000)"
155,83.04,"(89.606, 44803, 50000)"
156,83.97,"(89.75, 44875, 50000)"
157,83.14,"(89.868, 44934, 50000)"
158,84.63,"(89.96, 44980, 50000)"
159,84.27,"(90.158, 45079, 50000)"
160,84.79,"(90.634, 45317, 50000)"
161,84.08,"(90.842, 45421, 50000)"
162,84.59,"(90.92, 45460, 50000)"
163,84.74,"(91.148, 45574, 50000)"
164,85.34,"(91.256, 45628, 50000)"
165,85.38,"(91.658, 45829, 50000)"
166,85.35,"(91.582, 45791, 50000)"
167,85.65,"(91.942, 45971, 50000)"
168,85.76,"(92.354, 46177, 50000)"
169,85.9,"(92.642, 46321, 50000)"
170,85.91,"(92.702, 46351, 50000)"
171,86.77,"(92.958, 46479, 50000)"
172,86.58,"(93.384, 46692, 50000)"
173,86.72,"(93.508, 46754, 50000)"
174,86.41,"(93.756, 46878, 50000)"
175,86.75,"(93.9, 46950, 50000)"
176,86.59,"(94.22, 47110, 50000)"
177,86.89,"(94.31, 47155, 50000)"
178,86.79,"(94.712, 47356, 50000)"
179,87.19,"(95.086, 47543, 50000)"
180,87.14,"(95.164, 47582, 50000)"
181,87.02,"(95.344, 47672, 50000)"
182,86.97,"(95.606, 47803, 50000)"
183,87.18,"(95.644, 47822, 50000)"
184,87.3,"(96.014, 48007, 50000)"
185,87.66,"(96.116, 48058, 50000)"
186,86.98,"(96.264, 48132, 50000)"
187,87.52,"(96.372, 48186, 50000)"
188,87.49,"(96.618, 48309, 50000)"
189,87.75,"(96.618, 48309, 50000)"
190,87.79,"(96.712, 48356, 50000)"
191,87.97,"(96.972, 48486, 50000)"
192,87.92,"(96.968, 48484, 50000)"
193,87.92,"(97.1, 48550, 50000)"
194,87.93,"(97.144, 48572, 50000)"
195,87.92,"(97.07, 48535, 50000)"
196,87.87,"(97.176, 48588, 50000)"
197,88.07,"(97.31, 48655, 50000)"
198,88.13,"(97.176, 48588, 50000)"
199,88.04,"(97.27, 48635, 50000)"
