layer_names,pr
conv1,0.0
layer1.0.conv1,0.7026367
layer1.0.conv2,0.4736328
layer1.0.conv3,0.4006958
layer1.0.shortcut.0,0.633667
layer1.1.conv1,0.47479248
layer1.1.conv2,0.581977
layer1.1.conv3,0.50738525
layer1.2.conv1,0.44293213
layer1.2.conv2,0.71188694
layer1.2.conv3,0.6437988
layer2.0.conv1,0.19467163
layer2.0.conv2,0.22465007
layer2.0.conv3,0.17997742
layer2.0.shortcut.0,0.26411438
layer2.1.conv1,0.2445221
layer2.1.conv2,0.19611952
layer2.1.conv3,0.17327881
layer2.2.conv1,0.20228577
layer2.2.conv2,0.20692952
layer2.2.conv3,0.1954956
layer2.3.conv1,0.13153076
layer2.3.conv2,0.15214708
layer2.3.conv3,0.18333435
layer3.0.conv1,0.13350677
layer3.0.conv2,0.23332554
layer3.0.conv3,0.24736404
layer3.0.shortcut.0,0.36355782
layer3.1.conv1,0.33914948
layer3.1.conv2,0.28315565
layer3.1.conv3,0.34997177
layer3.2.conv1,0.6536522
layer3.2.conv2,0.7873552
layer3.2.conv3,0.7790489
layer3.3.conv1,0.6567116
layer3.3.conv2,0.84364486
layer3.3.conv3,0.84150696
layer3.4.conv1,0.59545517
layer3.4.conv2,0.7945506
layer3.4.conv3,0.86722946
layer3.5.conv1,0.6630783
layer3.5.conv2,0.87330794
layer3.5.conv3,0.91890717
layer4.0.conv1,0.5597038
layer4.0.conv2,0.87956744
layer4.0.conv3,0.8915529
layer4.0.shortcut.0,0.92717934
layer4.1.conv1,0.9903612
layer4.1.conv2,0.9960768
layer4.1.conv3,0.98972225
layer4.2.conv1,0.99739933
layer4.2.conv2,0.99910736
layer4.2.conv3,0.9994106
linear,0.0
