layer_names,pr
conv1,0.0
layer1.0.conv1,0.48413086
layer1.0.conv2,0.47021484
layer1.0.conv3,0.5383301
layer1.0.shortcut.0,0.46728516
layer1.1.conv1,0.5679321
layer1.1.conv2,0.72268337
layer1.1.conv3,0.7411499
layer1.2.conv1,0.4658203
layer1.2.conv2,0.61827254
layer1.2.conv3,0.6064453
layer2.0.conv1,0.32403564
layer2.0.conv2,0.39707437
layer2.0.conv3,0.31062317
layer2.0.shortcut.0,0.4394989
layer2.1.conv1,0.43466187
layer2.1.conv2,0.3729994
layer2.1.conv3,0.30046082
layer2.2.conv1,0.33184814
layer2.2.conv2,0.34624565
layer2.2.conv3,0.34033203
layer2.3.conv1,0.26712036
layer2.3.conv2,0.31583658
layer2.3.conv3,0.39926147
layer3.0.conv1,0.3061676
layer3.0.conv2,0.5327267
layer3.0.conv3,0.5522003
layer3.0.shortcut.0,0.71242905
layer3.1.conv1,0.8829651
layer3.1.conv2,0.88280064
layer3.1.conv3,0.8473816
layer3.2.conv1,0.772892
layer3.2.conv2,0.7504188
layer3.2.conv3,0.7920189
layer3.3.conv1,0.8240013
layer3.3.conv2,0.8727553
layer3.3.conv3,0.885479
layer3.4.conv1,0.8625374
layer3.4.conv2,0.94217765
layer3.4.conv3,0.9435005
layer3.5.conv1,0.9465637
layer3.5.conv2,0.98738945
layer3.5.conv3,0.9829674
layer4.0.conv1,0.852705
layer4.0.conv2,0.97959685
layer4.0.conv3,0.97647095
layer4.0.shortcut.0,0.9881053
layer4.1.conv1,0.9989176
layer4.1.conv2,0.99950624
layer4.1.conv3,0.9971962
layer4.2.conv1,0.9997797
layer4.2.conv2,0.9999135
layer4.2.conv3,0.9994936
linear,0.0
