layer_names,pr
conv1,0.0
layer1.0.conv1,0.13085938
layer1.0.conv2,0.19677734
layer1.0.conv3,0.13690186
layer1.0.shortcut.0,0.15570068
layer1.1.conv1,0.1697998
layer1.1.conv2,0.20876735
layer1.1.conv3,0.13861084
layer1.2.conv1,0.1965332
layer1.2.conv2,0.24487305
layer1.2.conv3,0.14776611
layer2.0.conv1,0.21661377
layer2.0.conv2,0.36331517
layer2.0.conv3,0.22291565
layer2.0.shortcut.0,0.32123566
layer2.1.conv1,0.3181305
layer2.1.conv2,0.34526232
layer2.1.conv3,0.22200012
layer2.2.conv1,0.30941772
layer2.2.conv2,0.36343724
layer2.2.conv3,0.2264862
layer2.3.conv1,0.3142395
layer2.3.conv2,0.39284262
layer2.3.conv3,0.23492432
layer3.0.conv1,0.3695221
layer3.0.conv2,0.5947045
layer3.0.conv3,0.346241
layer3.0.shortcut.0,0.47758484
layer3.1.conv1,0.5407181
layer3.1.conv2,0.60858154
layer3.1.conv3,0.3411789
layer3.2.conv1,0.5426903
layer3.2.conv2,0.6411014
layer3.2.conv3,0.34379196
layer3.3.conv1,0.5555115
layer3.3.conv2,0.6754964
layer3.3.conv3,0.3472519
layer3.4.conv1,0.57160187
layer3.4.conv2,0.7094506
layer3.4.conv3,0.3488922
layer3.5.conv1,0.5819893
layer3.5.conv2,0.7331526
layer3.5.conv3,0.35248947
layer4.0.conv1,0.5841446
layer4.0.conv2,0.90090096
layer4.0.conv3,0.5060463
layer4.0.shortcut.0,0.70426464
layer4.1.conv1,0.87288284
layer4.1.conv2,0.97983336
layer4.1.conv3,0.5075846
layer4.2.conv1,0.93888474
layer4.2.conv2,0.99782014
layer4.2.conv3,0.5102701
linear,0.0
