layer_names,pr
conv1,0.0
layer1.0.conv1,0.04663086
layer1.0.conv2,0.06000434
layer1.0.conv3,0.041809082
layer1.0.shortcut.0,0.036010742
layer1.1.conv1,0.055847168
layer1.1.conv2,0.07253689
layer1.1.conv3,0.05895996
layer1.2.conv1,0.044006348
layer1.2.conv2,0.05069987
layer1.2.conv3,0.064819336
layer2.0.conv1,0.036621094
layer2.0.conv2,0.062079534
layer2.0.conv3,0.05418396
layer2.0.shortcut.0,0.0796051
layer2.1.conv1,0.09101868
layer2.1.conv2,0.088528104
layer2.1.conv3,0.080322266
layer2.2.conv1,0.08830261
layer2.2.conv2,0.08791775
layer2.2.conv3,0.08465576
layer2.3.conv1,0.07800293
layer2.3.conv2,0.09261068
layer2.3.conv3,0.112579346
layer3.0.conv1,0.070381165
layer3.0.conv2,0.11879645
layer3.0.conv3,0.15979385
layer3.0.shortcut.0,0.22996712
layer3.1.conv1,0.59662247
layer3.1.conv2,0.90849304
layer3.1.conv3,0.8786316
layer3.2.conv1,0.6994972
layer3.2.conv2,0.9545644
layer3.2.conv3,0.9254532
layer3.3.conv1,0.70510864
layer3.3.conv2,0.9722019
layer3.3.conv3,0.96961975
layer3.4.conv1,0.6975899
layer3.4.conv2,0.97596234
layer3.4.conv3,0.98285675
layer3.5.conv1,0.6275406
layer3.5.conv2,0.96436054
layer3.5.conv3,0.95708084
layer4.0.conv1,0.4055252
layer4.0.conv2,0.8532575
layer4.0.conv3,0.6707182
layer4.0.shortcut.0,0.78077984
layer4.1.conv1,1.0
layer4.1.conv2,1.0
layer4.1.conv3,1.0
layer4.2.conv1,1.0
layer4.2.conv2,1.0
layer4.2.conv3,1.0
linear,0.0
