layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.9916992
layer1.0.conv2_1x1,0.9995117
layer1.0.conv3_3x3,0.9972331
layer1.0.conv4_1x1,0.9968262
layer1.0.conv5_1x1,0.99279785
layer1.0.shortcut.0,0.71069336
layer2.0.conv1_1x1,0.7978821
layer2.0.conv2_1x1,0.8215332
layer2.0.conv3_3x3,0.86488175
layer2.0.conv4_1x1,0.5814209
layer2.0.conv5_1x1,0.82547
layer2.0.shortcut.0,0.790596
layer3.0.conv1_1x1,0.8665085
layer3.0.conv2_1x1,0.74165344
layer3.0.conv3_3x3,0.86738926
layer3.0.conv4_1x1,0.6202545
layer3.0.conv5_1x1,0.820179
layer3.0.shortcut.0,0.83846474
layer3.1.conv1_1x1,0.85806656
layer3.1.conv2_1x1,0.67822266
layer3.1.conv3_3x3,0.7973735
layer3.1.conv4_1x1,0.48388672
layer3.1.conv5_1x1,0.5423088
layer4.0.conv1_1x1,0.58971214
layer4.0.conv2_1x1,0.48303986
layer4.0.conv3_3x3,0.7528903
layer4.0.conv4_1x1,0.3641777
layer4.0.conv5_1x1,0.87730885
layer4.0.shortcut.0,0.9639597
linear,0.0
