Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.6,76.06,73.14,74.67,76.95,0.032734464854002,74.93,76.95,1.15,1.31,0.9730503559112549
0.6,76.06,74.75,75.11,76.96,0.032705143094062805,75.76,76.95,1.16,1.3,0.9730458855628967
0.6,76.06,74.29,74.76,76.96,0.03267831355333328,75.4,76.95,1.57,1.32,0.9730377793312073
0.6,76.06,74.1,75.31,76.96,0.032708797603845596,75.34,76.95,1.0,1.32,0.9729812741279602
0.6,76.06,74.54,75.51,76.95,0.03273054212331772,75.91,76.95,1.0,1.3,0.9730474352836609
0.6,76.06,73.35,74.61,76.95,0.03273027390241623,74.94,76.95,0.99,1.32,0.9731012582778931
0.6,76.06,73.65,74.97,76.96,0.03263286128640175,75.08,76.95,1.0,1.33,0.9730188846588135
0.6,76.06,74.98,75.27,76.96,0.03266610577702522,75.48,76.95,1.0,1.32,0.9730784296989441
0.6,76.06,74.53,74.37,76.96,0.032711468636989594,75.22,76.95,1.56,1.3,0.9730604290962219
0.6,76.06,74.47,74.6,76.95,0.032717619091272354,75.59,76.95,1.0,1.3,0.9730585217475891
