Original Pruning Rate,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate
0.6,95.42,10.0,95.53,0.454500675201416
0.6,95.44,10.0,95.53,0.45452815294265747
0.6,95.37,10.0,95.53,0.4546241760253906
0.6,95.45,10.0,95.53,0.4545690417289734
0.6,95.43,10.0,95.53,0.4544900953769684
0.6,95.42,10.0,95.53,0.4544800817966461
0.6,95.4,10.0,95.53,0.45454031229019165
0.6,95.42,10.0,95.53,0.4545612633228302
0.6,95.38,10.0,95.53,0.4546433985233307
0.6,95.47,10.0,95.53,0.45453575253486633
