Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.95,13.22,18.17,14.98,94.91,0.6835059523582458,94.58,95.1,10.0,10.0,0.995151937007904
0.95,13.22,20.14,13.05,94.91,0.6834672093391418,94.88,95.1,10.0,10.0,0.9951598644256592
0.95,13.22,25.9,14.42,94.92,0.6835280060768127,95.03,95.1,10.0,10.0,0.9951575398445129
0.95,13.22,22.04,12.32,94.91,0.6834088563919067,94.57,95.1,10.0,10.0,0.9951536655426025
0.95,13.22,22.04,10.5,94.91,0.6834851503372192,94.85,95.1,10.0,10.0,0.995151937007904
0.95,13.22,15.04,12.76,94.91,0.6834685802459717,94.99,95.1,10.0,10.0,0.995163083076477
0.95,13.22,21.04,11.97,94.9,0.6834989786148071,94.79,95.1,10.0,10.0,0.995150089263916
0.95,13.22,24.52,13.42,94.92,0.6835854053497314,94.78,95.1,10.0,10.0,0.9951581358909607
0.95,13.22,13.66,12.38,94.91,0.6834893822669983,94.91,95.1,10.0,10.0,0.9951626658439636
0.95,13.22,19.47,14.41,94.92,0.6835536360740662,94.7,95.1,10.0,10.0,0.9951586127281189
