Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.9,84.02,84.17,83.87,94.68,0.7149456739425659,95.04,95.1
0.9,84.02,83.8,83.35,94.68,0.7148463129997253,95.04,95.1
0.9,84.02,85.74,83.84,94.69,0.7148095965385437,95.01,95.1
0.9,84.02,84.84,82.93,94.69,0.714789867401123,95.07,95.1
0.9,84.02,84.86,83.21,94.68,0.714881181716919,95.05,95.1
0.9,84.02,83.73,82.74,94.68,0.7149485349655151,95.04,95.1
0.9,84.02,85.63,84.06,94.67,0.7148622274398804,95.12,95.1
0.9,84.02,84.51,83.32,94.69,0.7147708535194397,95.11,95.1
0.9,84.02,86.17,82.91,94.69,0.7147619724273682,95.03,95.1
0.9,84.02,84.35,82.53,94.69,0.7148172855377197,94.98,95.1
