Original Pruning Rate,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate
0.6,70.55,1.02,71.43,0.14362220466136932
0.6,70.64,0.97,71.43,0.14350655674934387
0.6,70.52,1.08,71.43,0.14355753362178802
0.6,70.5,0.98,71.43,0.14363409578800201
0.6,70.31,1.05,71.43,0.14358656108379364
0.6,70.56,0.99,71.43,0.14364585280418396
0.6,70.59,0.99,71.43,0.1435711830854416
0.6,70.87,1.08,71.43,0.1436530202627182
0.6,70.65,0.89,71.43,0.14368000626564026
0.6,70.26,1.0,71.43,0.1436285823583603
