Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.9,1.08,1.01,1.0,1.69,0.8836762309074402,71.39,71.43,1.0,1.0,0.9084541201591492
0.9,1.08,1.04,1.0,1.68,0.8836565017700195,71.45,71.43,1.0,1.0,0.9084462523460388
0.9,1.08,1.01,1.0,1.69,0.8836753964424133,71.37,71.43,1.0,1.0,0.9084468483924866
0.9,1.08,1.11,1.0,1.69,0.8836885690689087,71.37,71.43,1.0,1.0,0.9084581732749939
0.9,1.08,1.13,1.0,1.69,0.8836867809295654,71.43,71.43,1.0,1.0,0.9084557890892029
0.9,1.08,1.02,1.0,1.69,0.8836847543716431,71.5,71.43,1.0,1.0,0.9084400534629822
0.9,1.08,1.06,1.0,1.69,0.8837034702301025,71.43,71.43,1.0,1.0,0.9084627628326416
0.9,1.08,1.03,1.0,1.68,0.8836602568626404,71.42,71.43,1.0,1.0,0.9084508419036865
0.9,1.08,1.13,1.0,1.68,0.8836503028869629,71.38,71.43,1.0,1.0,0.908447265625
0.9,1.08,1.05,1.0,1.69,0.8837026953697205,71.47,71.43,1.0,1.0,0.9084605574607849
