Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate
0.9,1.08,1.09,1.0,1.68,0.8871674537658691
0.9,1.08,1.07,1.0,1.68,0.8871559500694275
0.9,1.08,1.05,1.0,1.68,0.8871728777885437
0.9,1.08,1.01,1.0,1.68,0.8871856927871704
0.9,1.08,1.15,1.0,1.68,0.8871620297431946
0.9,1.08,1.13,1.0,1.68,0.8871709704399109
0.9,1.08,1.05,1.0,1.68,0.8871831297874451
0.9,1.08,1.05,1.0,1.68,0.8871676921844482
0.9,1.08,1.16,1.0,1.68,0.887172281742096
0.9,1.08,1.18,1.0,1.66,0.8871898055076599
