Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.5,93.65,93.62,10.0,93.66,0.022642623633146286,93.65,93.66,10.0,93.24,0.8875713348388672
0.5,93.65,93.74,10.0,93.66,0.02266782335937023,93.7,93.66,10.0,93.24,0.8875321745872498
0.5,93.65,93.68,10.0,93.66,0.02262905240058899,93.63,93.66,10.0,93.23,0.8875741958618164
0.5,93.65,93.68,10.0,93.66,0.022654199972748756,93.63,93.66,10.0,93.23,0.8875529766082764
0.5,93.65,93.65,10.0,93.66,0.02265879139304161,93.67,93.66,10.0,93.22,0.8875404000282288
0.5,93.65,93.72,10.0,93.66,0.02261258475482464,93.63,93.66,10.0,93.23,0.8875503540039062
0.5,93.65,93.64,10.0,93.66,0.02267790213227272,93.61,93.66,10.0,93.23,0.8875765204429626
0.5,93.65,93.68,10.0,93.66,0.022614382207393646,93.68,93.66,10.0,93.23,0.8875348567962646
0.5,93.65,93.71,10.0,93.66,0.0226597897708416,93.63,93.66,10.0,93.24,0.887529194355011
0.5,93.65,93.67,10.0,93.66,0.02262989990413189,93.65,93.66,10.0,93.22,0.8875138163566589
