Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,12.7,12.88,10.0,62.78,0.9088902473449707,93.71,93.66
0.95,12.7,16.21,10.0,62.66,0.9089282155036926,93.65,93.66
0.95,12.7,16.29,10.0,62.79,0.9088879227638245,93.65,93.66
0.95,12.7,18.21,10.0,62.61,0.9089354276657104,93.6,93.66
0.95,12.7,17.52,10.0,62.7,0.9089142680168152,93.6,93.66
0.95,12.7,13.76,10.0,62.6,0.9089528918266296,93.69,93.66
0.95,12.7,15.22,10.0,62.69,0.9089204668998718,93.59,93.66
0.95,12.7,13.55,10.0,62.64,0.9089325070381165,93.75,93.66
0.95,12.7,14.42,10.0,62.68,0.9089223742485046,93.6,93.66
0.95,12.7,17.02,10.0,62.69,0.9089178442955017,93.67,93.66
