layer_names,pr
conv1,0.0
layer1.0.conv1,0.6311035
layer1.0.conv2,0.5755751
layer1.0.conv3,0.43164062
layer1.0.shortcut.0,0.5059204
layer1.1.conv1,0.46862793
layer1.1.conv2,0.45472547
layer1.1.conv3,0.18457031
layer1.2.conv1,0.28668213
layer1.2.conv2,0.3622233
layer1.2.conv3,0.16235352
layer2.0.conv1,0.42593384
layer2.0.conv2,0.44498697
layer2.0.conv3,0.12678528
layer2.0.shortcut.0,0.120399475
layer2.1.conv1,0.26435852
layer2.1.conv2,0.32019722
layer2.1.conv3,0.3086853
layer2.2.conv1,0.25024414
layer2.2.conv2,0.85584176
layer2.2.conv3,0.96520996
layer2.3.conv1,0.27366638
layer2.3.conv2,0.85976833
layer2.3.conv3,0.96569824
layer3.0.conv1,0.26748657
layer3.0.conv2,0.74800956
layer3.0.conv3,0.47782898
layer3.0.shortcut.0,0.2709217
layer3.1.conv1,1.0
layer3.1.conv2,1.0
layer3.1.conv3,1.0
layer3.2.conv1,1.0
layer3.2.conv2,1.0
layer3.2.conv3,1.0
layer3.3.conv1,1.0
layer3.3.conv2,1.0
layer3.3.conv3,1.0
layer3.4.conv1,1.0
layer3.4.conv2,1.0
layer3.4.conv3,1.0
layer3.5.conv1,1.0
layer3.5.conv2,1.0
layer3.5.conv3,1.0
layer4.0.conv1,1.0
layer4.0.conv2,1.0
layer4.0.conv3,1.0
layer4.0.shortcut.0,0.59707403
layer4.1.conv1,1.0
layer4.1.conv2,1.0
layer4.1.conv3,1.0
layer4.2.conv1,1.0
layer4.2.conv2,1.0
layer4.2.conv3,1.0
linear,0.0
