layer_names,pr
conv1,0.0
layer1.0.conv1,0.5473633
layer1.0.conv2,0.47216797
layer1.0.conv3,0.45251465
layer1.0.shortcut.0,0.55578613
layer1.1.conv1,0.5317383
layer1.1.conv2,0.5199382
layer1.1.conv3,0.5363159
layer1.2.conv1,0.42840576
layer1.2.conv2,0.43836805
layer1.2.conv3,0.40911865
layer2.0.conv1,0.28457642
layer2.0.conv2,0.36281332
layer2.0.conv3,0.29437256
layer2.0.shortcut.0,0.38625336
layer2.1.conv1,0.38690186
layer2.1.conv2,0.33050537
layer2.1.conv3,0.2642517
layer2.2.conv1,0.28460693
layer2.2.conv2,0.30877686
layer2.2.conv3,0.31062317
layer2.3.conv1,0.2294159
layer2.3.conv2,0.2815145
layer2.3.conv3,0.35768127
layer3.0.conv1,0.268013
layer3.0.conv2,0.4907803
layer3.0.conv3,0.53015137
layer3.0.shortcut.0,0.6961117
layer3.1.conv1,0.6627579
layer3.1.conv2,0.5700005
layer3.1.conv3,0.6355667
layer3.2.conv1,0.9231949
layer3.2.conv2,0.96955365
layer3.2.conv3,0.95401
layer3.3.conv1,0.952549
layer3.3.conv2,0.9892646
layer3.3.conv3,0.9852562
layer3.4.conv1,0.95331573
layer3.4.conv2,0.9908074
layer3.4.conv3,0.98651505
layer3.5.conv1,0.96700287
layer3.5.conv2,0.9921383
layer3.5.conv3,0.9896507
layer4.0.conv1,0.86649895
layer4.0.conv2,0.9797779
layer4.0.conv3,0.97618866
layer4.0.shortcut.0,0.984334
layer4.1.conv1,0.9982395
layer4.1.conv2,0.99918747
layer4.1.conv3,0.9969826
layer4.2.conv1,0.99917984
layer4.2.conv2,0.9998673
layer4.2.conv3,0.999444
linear,0.0
