layer_names,pr
conv1,0.0
layer1.0.conv1,0.5834961
layer1.0.conv2,0.5793186
layer1.0.conv3,0.52124023
layer1.0.shortcut.0,0.5628052
layer1.1.conv1,0.59454346
layer1.1.conv2,0.56377494
layer1.1.conv3,0.45147705
layer1.2.conv1,0.5187378
layer1.2.conv2,0.5260417
layer1.2.conv3,0.40759277
layer2.0.conv1,0.30459595
layer2.0.conv2,0.37897408
layer2.0.conv3,0.2909546
layer2.0.shortcut.0,0.40924835
layer2.1.conv1,0.47242737
layer2.1.conv2,0.47424996
layer2.1.conv3,0.56962585
layer2.2.conv1,0.4597473
layer2.2.conv2,0.5614285
layer2.2.conv3,0.6149597
layer2.3.conv1,0.51776123
layer2.3.conv2,0.6687012
layer2.3.conv3,0.7584686
layer3.0.conv1,0.256958
layer3.0.conv2,0.38807508
layer3.0.conv3,0.33188248
layer3.0.shortcut.0,0.46825027
layer3.1.conv1,0.74108505
layer3.1.conv2,0.84472996
layer3.1.conv3,0.7107086
layer3.2.conv1,0.85450745
layer3.2.conv2,0.94484794
layer3.2.conv3,0.8915558
layer3.3.conv1,0.7036705
layer3.3.conv2,0.86183
layer3.3.conv3,0.80366516
layer3.4.conv1,0.78513336
layer3.4.conv2,0.9345059
layer3.4.conv3,0.8977699
layer3.5.conv1,0.9423485
layer3.5.conv2,0.9938863
layer3.5.conv3,0.99832535
layer4.0.conv1,0.30407906
layer4.0.conv2,0.70492256
layer4.0.conv3,0.45673943
layer4.0.shortcut.0,0.65507174
layer4.1.conv1,0.9847145
layer4.1.conv2,0.9990764
layer4.1.conv3,0.99579906
layer4.2.conv1,0.9910917
layer4.2.conv2,0.99917984
layer4.2.conv3,0.9963732
linear,0.0
