Epoch,test accuracy,training accuracy
0,20.0,"(14.744, 7372, 50000)"
1,29.17,"(23.534, 11767, 50000)"
2,32.35,"(29.418, 14709, 50000)"
3,37.79,"(32.804, 16402, 50000)"
4,41.95,"(36.43, 18215, 50000)"
5,44.01,"(38.728, 19364, 50000)"
6,42.08,"(39.962, 19981, 50000)"
7,46.07,"(41.296, 20648, 50000)"
8,41.87,"(37.822, 18911, 50000)"
9,45.43,"(41.022, 20511, 50000)"
10,48.47,"(42.53, 21265, 50000)"
11,49.04,"(43.802, 21901, 50000)"
12,47.28,"(44.7, 22350, 50000)"
13,48.34,"(45.158, 22579, 50000)"
14,48.13,"(46.284, 23142, 50000)"
15,46.47,"(46.578, 23289, 50000)"
16,49.83,"(46.856, 23428, 50000)"
17,50.16,"(47.826, 23913, 50000)"
18,50.73,"(47.9, 23950, 50000)"
19,50.81,"(48.358, 24179, 50000)"
20,52.33,"(48.28, 24140, 50000)"
21,50.59,"(48.904, 24452, 50000)"
22,51.46,"(48.854, 24427, 50000)"
23,52.93,"(49.324, 24662, 50000)"
24,50.49,"(49.39, 24695, 50000)"
25,53.78,"(49.37, 24685, 50000)"
26,52.91,"(50.264, 25132, 50000)"
27,51.21,"(50.124, 25062, 50000)"
28,53.37,"(50.43, 25215, 50000)"
