Epoch,test accuracy,training accuracy
0,18.24,"(13.09, 6545, 50000)"
1,27.19,"(20.806, 10403, 50000)"
2,27.54,"(26.916, 13458, 50000)"
3,34.08,"(30.334, 15167, 50000)"
4,32.81,"(33.664, 16832, 50000)"
5,35.14,"(36.596, 18298, 50000)"
6,44.16,"(40.458, 20229, 50000)"
7,42.36,"(43.836, 21918, 50000)"
8,49.06,"(46.608, 23304, 50000)"
9,51.81,"(49.334, 24667, 50000)"
10,51.42,"(51.558, 25779, 50000)"
11,54.14,"(53.678, 26839, 50000)"
12,58.16,"(55.644, 27822, 50000)"
13,56.26,"(56.814, 28407, 50000)"
14,57.34,"(58.3, 29150, 50000)"
15,58.2,"(59.688, 29844, 50000)"
16,60.23,"(60.39, 30195, 50000)"
17,57.3,"(61.73, 30865, 50000)"
18,63.1,"(62.38, 31190, 50000)"
19,61.54,"(63.288, 31644, 50000)"
20,65.33,"(63.85, 31925, 50000)"
21,61.42,"(64.708, 32354, 50000)"
22,64.84,"(65.298, 32649, 50000)"
23,66.39,"(65.396, 32698, 50000)"
24,66.8,"(66.056, 33028, 50000)"
25,66.92,"(66.354, 33177, 50000)"
26,66.35,"(67.062, 33531, 50000)"
27,67.11,"(67.27, 33635, 50000)"
28,65.91,"(67.69, 33845, 50000)"
29,65.69,"(67.92, 33960, 50000)"
30,64.66,"(68.722, 34361, 50000)"
31,65.21,"(69.136, 34568, 50000)"
32,60.6,"(69.936, 34968, 50000)"
33,67.02,"(70.214, 35107, 50000)"
34,65.56,"(70.638, 35319, 50000)"
35,67.41,"(71.504, 35752, 50000)"
36,68.45,"(71.682, 35841, 50000)"
37,69.73,"(71.468, 35734, 50000)"
38,69.76,"(72.306, 36153, 50000)"
39,69.5,"(72.324, 36162, 50000)"
40,65.14,"(72.636, 36318, 50000)"
41,69.26,"(72.634, 36317, 50000)"
42,70.35,"(72.98, 36490, 50000)"
43,70.75,"(73.384, 36692, 50000)"
44,70.37,"(73.184, 36592, 50000)"
45,68.61,"(73.956, 36978, 50000)"
46,69.83,"(73.806, 36903, 50000)"
47,67.77,"(73.636, 36818, 50000)"
48,68.71,"(73.968, 36984, 50000)"
49,69.49,"(74.208, 37104, 50000)"
50,72.84,"(74.326, 37163, 50000)"
51,73.81,"(74.294, 37147, 50000)"
52,70.22,"(74.456, 37228, 50000)"
53,74.1,"(74.536, 37268, 50000)"
54,69.93,"(75.216, 37608, 50000)"
55,69.95,"(74.726, 37363, 50000)"
56,71.83,"(75.478, 37739, 50000)"
57,68.97,"(75.088, 37544, 50000)"
58,72.9,"(75.086, 37543, 50000)"
59,75.15,"(75.506, 37753, 50000)"
60,72.49,"(75.62, 37810, 50000)"
61,72.04,"(75.49, 37745, 50000)"
62,72.27,"(75.594, 37797, 50000)"
63,75.36,"(76.086, 38043, 50000)"
64,72.6,"(76.166, 38083, 50000)"
65,72.52,"(76.056, 38028, 50000)"
66,71.95,"(76.106, 38053, 50000)"
67,72.5,"(76.232, 38116, 50000)"
68,72.78,"(76.434, 38217, 50000)"
69,75.67,"(76.56, 38280, 50000)"
70,73.57,"(76.636, 38318, 50000)"
71,74.7,"(76.812, 38406, 50000)"
72,73.21,"(77.062, 38531, 50000)"
73,75.37,"(76.826, 38413, 50000)"
74,73.75,"(77.206, 38603, 50000)"
75,73.84,"(77.222, 38611, 50000)"
76,74.34,"(77.138, 38569, 50000)"
77,73.87,"(77.302, 38651, 50000)"
78,73.23,"(77.638, 38819, 50000)"
79,76.97,"(77.674, 38837, 50000)"
80,74.86,"(77.706, 38853, 50000)"
81,75.68,"(77.782, 38891, 50000)"
82,77.34,"(78.012, 39006, 50000)"
83,76.4,"(78.046, 39023, 50000)"
84,75.85,"(78.342, 39171, 50000)"
85,73.93,"(78.046, 39023, 50000)"
86,76.0,"(78.582, 39291, 50000)"
87,73.44,"(78.726, 39363, 50000)"
88,74.61,"(78.822, 39411, 50000)"
89,77.13,"(78.828, 39414, 50000)"
90,75.94,"(78.966, 39483, 50000)"
91,75.61,"(79.11, 39555, 50000)"
92,75.23,"(79.286, 39643, 50000)"
93,76.01,"(79.332, 39666, 50000)"
94,73.81,"(79.284, 39642, 50000)"
95,75.35,"(79.56, 39780, 50000)"
96,75.79,"(79.874, 39937, 50000)"
97,75.98,"(79.452, 39726, 50000)"
98,73.54,"(79.788, 39894, 50000)"
99,78.14,"(80.092, 40046, 50000)"
100,79.4,"(80.096, 40048, 50000)"
