Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 7 train accuracy,Prob 8 train accuracy,Prob 9 train accuracy,Prob 10 train accuracy,Prob 11 train accuracy,Prob 12 train accuracy,Prob 13 train accuracy,Prob 14 train accuracy,Prob 15 train accuracy,Prob 16 train accuracy,Prob 17 train accuracy,Prob 18 train accuracy,Prob 19 train accuracy,Prob 20 train accuracy,Prob 21 train accuracy,Prob 22 train accuracy,Prob 23 train accuracy,Prob 24 train accuracy,Prob 25 train accuracy,Prob 26 train accuracy,Prob 27 train accuracy,Prob 28 train accuracy,Prob 29 train accuracy,Prob 30 train accuracy,Prob 31 train accuracy,Prob 32 train accuracy,Prob 33 train accuracy,Prob 34 train accuracy,Prob 35 train accuracy,Prob 36 train accuracy,Prob 37 train accuracy,Prob 38 train accuracy,Prob 39 train accuracy,Prob 40 train accuracy,Prob 41 train accuracy,Prob 42 train accuracy,Prob 43 train accuracy,Prob 44 train accuracy,Prob 45 train accuracy,Prob 46 train accuracy,Prob 47 train accuracy,Prob 48 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Prob 7 test accuracy,Prob 8 test accuracy,Prob 9 test accuracy,Prob 10 test accuracy,Prob 11 test accuracy,Prob 12 test accuracy,Prob 13 test accuracy,Prob 14 test accuracy,Prob 15 test accuracy,Prob 16 test accuracy,Prob 17 test accuracy,Prob 18 test accuracy,Prob 19 test accuracy,Prob 20 test accuracy,Prob 21 test accuracy,Prob 22 test accuracy,Prob 23 test accuracy,Prob 24 test accuracy,Prob 25 test accuracy,Prob 26 test accuracy,Prob 27 test accuracy,Prob 28 test accuracy,Prob 29 test accuracy,Prob 30 test accuracy,Prob 31 test accuracy,Prob 32 test accuracy,Prob 33 test accuracy,Prob 34 test accuracy,Prob 35 test accuracy,Prob 36 test accuracy,Prob 37 test accuracy,Prob 38 test accuracy,Prob 39 test accuracy,Prob 40 test accuracy,Prob 41 test accuracy,Prob 42 test accuracy,Prob 43 test accuracy,Prob 44 test accuracy,Prob 45 test accuracy,Prob 46 test accuracy,Prob 47 test accuracy,Prob 48 test accuracy,Final test accuracy
0,18.93999999932183,9.979999998982747,9.828888887871637,37.95111110975478,9.87333333299425,10.022222220526801,37.91333333129883,9.906666666242812,9.771111110772027,37.68666666463216,11.119999999321832,12.162222221883138,45.61333332926432,9.771111110772027,9.882222221883138,45.97999999660916,9.877777777777778,9.99111110941569,45.78888888346354,9.877777777438693,9.91333333231608,46.142222218153215,10.015555553860134,9.848888888549805,53.2799999979655,9.86222222120497,9.824444442749023,53.153333331976995,9.988888887871637,10.035555553860135,53.41333333197699,10.068888887193468,9.83111110941569,53.35777777642144,10.064444442749023,9.799999998304578,53.40444444308811,10.006666666666666,9.99111110941569,53.34444444308811,9.766666664971245,9.964444442749024,63.60888888075087,10.026666664971245,9.913333331637912,63.466666658528645,9.8,9.828888887193468,63.61777777506511,21.83,10.0,10.0,43.24,10.0,10.0,43.23,10.0,10.0,43.02,15.02,13.32,48.74,10.0,10.0,48.75,10.0,10.0,48.75,10.0,10.0,48.98,10.0,10.0,52.07,10.0,10.0,52.15,10.0,10.0,52.11,10.0,10.0,52.07,10.0,10.0,52.15,10.0,10.0,52.0,10.0,10.0,53.95,10.0,10.0,53.92,10.0,10.0,53.99,53.77
1,22.986666665988498,9.957777777777778,9.933333332994248,43.88444444308811,9.962222222222222,9.993333333333334,43.86444444173177,10.02,9.96,43.784444443088105,15.042222222222222,13.364444442749024,49.653333333333336,9.86888888888889,9.922222222222222,49.76444444444444,9.862222222222222,9.806666666666667,49.82666666666667,9.986666666666666,10.03111111111111,49.782222216796875,9.813333333333333,9.96888888888889,56.33111110432943,10.055555555555555,9.948888888888888,56.391111104329426,10.015555555555556,9.884444444444444,56.37999999321831,10.024444444444445,9.95111111111111,56.36888888210721,9.95111111111111,10.06,56.3777777709961,10.004444444444445,9.997777777777777,56.40222221544054,10.013333333333334,10.015555555555556,65.10444443901909,10.02,10.04,65.07777777235243,9.86888888888889,9.975555555555555,65.05777777235242,23.56,10.0,10.0,44.63,10.0,10.0,44.55,10.0,10.0,44.71,14.85,13.38,49.44,10.0,10.0,49.56,10.0,10.0,49.55,10.0,10.0,49.77,10.0,10.0,52.3,10.0,10.0,52.38,10.0,10.0,52.38,10.0,10.0,52.35,10.0,10.0,52.33,10.0,10.0,52.29,10.0,10.0,53.77,10.0,10.0,53.73,10.0,10.0,53.7,53.77
2,24.202222220526803,9.95555555521647,9.837777777438694,44.85333332926432,9.946666666327582,9.951111110772027,44.82888888414171,9.975555555216472,9.975555555216472,44.85333332926432,15.335555554538303,13.757777777777777,50.36,9.90444444410536,9.959999999660916,50.455555555555556,9.931111110772028,9.982222221883138,50.50222222222222,10.037777777438693,9.959999999660916,50.46222222222222,10.00444444410536,9.902222221883138,56.82888888210721,10.008888888549805,9.991111110772026,56.81333332722982,10.051111110772027,9.971111110772027,56.80222221611871,9.948888888549805,9.997777777438694,56.799999993896485,9.95555555521647,9.977777777438694,56.799999993896485,9.966666666327582,9.988888888549806,56.8111111050076,9.977777777438694,9.988888888549806,65.2266666571723,9.98444444410536,9.98444444410536,65.22888887939453,9.982222221883138,9.977777777438694,65.24222221272787,23.78,10.0,10.0,45.34,10.0,10.0,45.41,10.0,10.0,45.45,15.87,13.82,49.85,10.0,10.0,49.96,10.0,10.0,50.09,10.0,10.0,50.22,10.0,10.0,52.41,10.0,10.0,52.51,10.0,10.0,52.53,10.0,10.0,52.49,10.0,10.0,52.52,10.0,10.0,52.51,10.0,10.0,53.77,10.0,10.0,53.91,10.0,10.0,53.77,53.77
3,25.019999997965495,10.079999997965494,10.108888886854384,45.619999994574655,10.091111109076605,10.066666664632162,45.64666666124132,10.01555555352105,10.08444444240994,45.5777777730306,15.566666666327583,13.65777777642144,50.513333331976995,10.11555555352105,10.11555555352105,50.5999999979655,10.122222220187718,10.117777775743273,50.564444442409936,10.091111109076605,10.108888886854384,50.56888888685438,10.108888886854384,10.122222220187718,56.8111111050076,10.077777775743273,10.08444444240994,56.815555550130206,10.091111109076605,10.077777775743273,56.85111110568577,10.046666664632161,10.07555555352105,56.824444439019096,10.079999997965494,10.099999997965496,56.85333332790798,10.108888886854384,10.108888886854384,56.848888883463545,10.108888886854384,10.099999997965496,65.34888888075086,10.068888886854383,10.099999997965496,65.33999999186197,10.108888886854384,10.108888886854384,65.34888888075086,24.85,10.0,10.0,45.91,10.0,10.0,45.94,10.0,10.0,45.95,15.84,14.03,49.69,10.0,10.0,49.91,10.0,10.0,50.02,10.0,10.0,50.06,10.0,10.0,51.99,10.0,10.0,52.08,10.0,10.0,52.11,10.0,10.0,52.17,10.0,10.0,52.16,10.0,10.0,52.18,10.0,10.0,53.87,10.0,10.0,53.89,10.0,10.0,53.84,53.77
4,25.41777777574327,9.85555555521647,9.839999999660916,45.82222222018772,9.853333332994248,9.853333332994248,45.811111109076606,9.868888888549805,9.85555555521647,45.793333331298825,15.446666665649413,13.777777776421441,50.535555552164716,9.851111110772028,9.851111110772028,50.56888888685438,9.842222221883137,9.853333332994248,50.579999998643665,9.85555555521647,9.851111110772028,50.64888888753255,9.853333332994248,9.853333332994248,56.59111110636393,9.868888888549805,9.866666666327582,56.70666666124132,9.851111110772028,9.868888888549805,56.67111110636393,9.868888888549805,9.85555555521647,56.642222217475044,9.853333332994248,9.853333332994248,56.64444443969727,9.853333332994248,9.853333332994248,56.633333328586154,9.851111110772028,9.853333332994248,65.02666665717231,9.871111110772027,9.853333332994248,65.05333332383897,9.851111110772028,9.851111110772028,65.05777776828342,25.13,10.0,10.0,45.74,10.0,10.0,45.67,10.0,10.0,45.68,15.25,13.82,49.54,10.0,10.0,49.81,10.0,10.0,49.95,10.0,10.0,49.94,10.0,10.0,52.3,10.0,10.0,52.25,10.0,10.0,52.22,10.0,10.0,52.2,10.0,10.0,52.17,10.0,10.0,52.17,10.0,10.0,53.81,10.0,10.0,53.84,10.0,10.0,53.84,53.77
5,26.0666666659885,10.00666666531033,9.975555554199218,45.79555555487739,9.99777777642144,9.97777777642144,45.81333333265516,9.984444443088108,9.955555554199218,45.79777777709961,15.808888887193469,14.02,50.5244444390191,9.99777777642144,9.99777777642144,50.56444444444445,9.968888887532552,9.968888887532552,50.626666665988495,9.968888887532552,9.99777777642144,50.586666666666666,9.968888887532552,9.99777777642144,56.59777777370877,9.99777777642144,9.99777777642144,56.57999999593099,9.99777777642144,9.968888887532552,56.593333329264325,9.968888887532552,9.968888887532552,56.56888888481988,9.97777777642144,9.973333331976997,56.58222221815321,9.968888887532552,9.968888887532552,56.557777773708764,9.99777777642144,9.99777777642144,65.06888888481988,9.99777777642144,9.99777777642144,65.05777777370876,9.99777777642144,9.968888887532552,65.07999999593099,25.44,10.0,10.0,45.75,10.0,10.0,45.79,10.0,10.0,45.8,15.37,13.82,49.65,10.0,10.0,49.8,10.0,10.0,49.85,10.0,10.0,49.89,10.0,10.0,52.01,10.0,10.0,51.95,10.0,10.0,51.9,10.0,10.0,51.86,10.0,10.0,51.86,10.0,10.0,51.85,10.0,10.0,53.55,10.0,10.0,53.58,10.0,10.0,53.55,53.77
6,25.893333331637912,9.902222221713595,9.911111110602485,45.6377777730306,9.911111110602485,9.902222221713595,45.63555555080838,9.911111110602485,9.908888888380263,45.64666666191949,16.166666665649416,14.037777776930067,50.32888888888889,9.902222221713595,9.902222221713595,50.406666666666666,9.902222221713595,9.902222221713595,50.37777777709961,9.902222221713595,9.902222221713595,50.422222222222224,9.902222221713595,9.902222221713595,56.75333333062066,9.908888888380263,9.902222221713595,56.81333333062066,9.902222221713595,9.902222221713595,56.79999999728733,9.902222221713595,9.902222221713595,56.80444444173177,9.902222221713595,9.902222221713595,56.795555552842885,9.902222221713595,9.902222221713595,56.81555555284288,9.902222221713595,9.902222221713595,65.15333332248264,9.902222221713595,9.908888888380263,65.14888887803819,9.902222221713595,9.902222221713595,65.15333332248264,24.74,10.0,10.0,45.95,10.0,10.0,45.89,10.0,10.0,45.94,14.54,13.83,49.72,10.0,10.0,49.75,10.0,10.0,49.81,10.0,10.0,49.92,10.0,10.0,52.21,10.0,10.0,52.4,10.0,10.0,52.4,10.0,10.0,52.34,10.0,10.0,52.36,10.0,10.0,52.36,10.0,10.0,53.41,10.0,10.0,53.42,10.0,10.0,53.45,53.77
7,26.011111109076605,10.091111111111111,10.091111111111111,45.90222221883138,10.091111111111111,10.091111111111111,45.882222220187714,10.091111111111111,10.091111111111111,45.89111110839844,14.591111111111111,13.78666666624281,50.4311111070421,10.091111111111111,10.091111111111111,50.57999999525282,10.091111111111111,10.091111111111111,50.66222221950955,10.091111111111111,10.091111111111111,50.67777777370877,10.091111111111111,10.091111111111111,56.79555554877387,10.091111111111111,10.091111111111111,56.76444444308811,10.091111111111111,10.091111111111111,56.73999999864366,10.091111111111111,10.091111111111111,56.70666666531033,10.091111111111111,10.091111111111111,56.69111110975477,10.091111111111111,10.091111111111111,56.68444444240994,10.091111111111111,10.091111111111111,65.27777777370876,10.091111111111111,10.091111111111111,65.279999995931,10.091111111111111,10.091111111111111,65.28666666259765,25.91,10.0,10.0,46.02,10.0,10.0,45.94,10.0,10.0,46.05,16.31,14.36,50.02,10.0,10.0,50.09,10.0,10.0,50.15,10.0,10.0,50.09,10.0,10.0,52.41,10.0,10.0,52.51,10.0,10.0,52.5,10.0,10.0,52.44,10.0,10.0,52.43,10.0,10.0,52.44,10.0,10.0,53.73,10.0,10.0,53.73,10.0,10.0,53.71,53.77
8,26.373333331298827,9.848888888549805,9.822222221883138,45.815555550130206,9.842222221883137,9.842222221883137,45.85333332790798,9.842222221883137,9.822222221883138,45.86222221679687,16.408888887193466,13.926666666666666,50.333333331976995,9.842222221883137,9.822222221883138,50.473333331976995,9.822222221883138,9.822222221883138,50.59777777642144,9.842222221883137,9.822222221883138,50.531111109754775,9.848888888549805,9.842222221883137,56.67333332858615,9.822222221883138,9.822222221883138,56.71333332994249,9.822222221883138,9.822222221883138,56.71111110772027,9.822222221883138,9.822222221883138,56.706666663275826,9.842222221883137,9.842222221883137,56.70888888549805,9.848888888549805,9.822222221883138,56.70888888549805,9.842222221883137,9.842222221883137,64.91111110568576,9.822222221883138,9.822222221883138,64.92666666124131,9.842222221883137,9.842222221883137,64.91111110568576,26.04,10.0,10.0,46.1,10.0,10.0,46.0,10.0,10.0,46.05,15.68,13.99,50.03,10.0,10.0,50.04,10.0,10.0,49.99,10.0,10.0,49.95,10.0,10.0,52.02,10.0,10.0,52.18,10.0,10.0,52.15,10.0,10.0,52.16,10.0,10.0,52.16,10.0,10.0,52.13,10.0,10.0,53.94,10.0,10.0,53.94,10.0,10.0,53.96,53.77
9,26.197777775065106,9.704444444274902,9.704444444274902,45.959999996609156,9.704444444274902,9.704444444274902,45.944444441053605,9.704444444274902,9.704444444274902,45.99777777438693,15.275555554707845,13.975555555555555,50.39333333129883,9.704444444274902,9.704444444274902,50.48444444240994,9.704444444274902,9.704444444274902,50.499999998643666,9.704444444274902,9.704444444274902,50.49111111043294,9.704444444274902,9.704444444274902,56.602222216118705,9.704444444274902,9.704444444274902,56.67333332722982,9.704444444274902,9.704444444274902,56.7088888821072,9.704444444274902,9.704444444274902,56.68444443766276,9.704444444274902,9.704444444274902,56.69111110432943,9.704444444274902,9.704444444274902,56.68222221544054,9.704444444274902,9.704444444274902,64.94444443766277,9.704444444274902,9.704444444274902,64.95555554945204,9.704444444274902,9.704444444274902,64.95333332655164,26.18,10.0,10.0,46.14,10.0,10.0,46.13,10.0,10.0,46.17,16.31,13.95,49.68,10.0,10.0,49.81,10.0,10.0,49.76,10.0,10.0,49.84,10.0,10.0,52.52,10.0,10.0,52.5,10.0,10.0,52.25,10.0,10.0,52.26,10.0,10.0,52.27,10.0,10.0,52.3,10.0,10.0,53.78,10.0,10.0,53.8,10.0,10.0,53.79,53.77
