Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 7 train accuracy,Prob 8 train accuracy,Prob 9 train accuracy,Prob 10 train accuracy,Prob 11 train accuracy,Prob 12 train accuracy,Prob 13 train accuracy,Prob 14 train accuracy,Prob 15 train accuracy,Prob 16 train accuracy,Prob 17 train accuracy,Prob 18 train accuracy,Prob 19 train accuracy,Prob 20 train accuracy,Prob 21 train accuracy,Prob 22 train accuracy,Prob 23 train accuracy,Prob 24 train accuracy,Prob 25 train accuracy,Prob 26 train accuracy,Prob 27 train accuracy,Prob 28 train accuracy,Prob 29 train accuracy,Prob 30 train accuracy,Prob 31 train accuracy,Prob 32 train accuracy,Prob 33 train accuracy,Prob 34 train accuracy,Prob 35 train accuracy,Prob 36 train accuracy,Prob 37 train accuracy,Prob 38 train accuracy,Prob 39 train accuracy,Prob 40 train accuracy,Prob 41 train accuracy,Prob 42 train accuracy,Prob 43 train accuracy,Prob 44 train accuracy,Prob 45 train accuracy,Prob 46 train accuracy,Prob 47 train accuracy,Prob 48 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Prob 7 test accuracy,Prob 8 test accuracy,Prob 9 test accuracy,Prob 10 test accuracy,Prob 11 test accuracy,Prob 12 test accuracy,Prob 13 test accuracy,Prob 14 test accuracy,Prob 15 test accuracy,Prob 16 test accuracy,Prob 17 test accuracy,Prob 18 test accuracy,Prob 19 test accuracy,Prob 20 test accuracy,Prob 21 test accuracy,Prob 22 test accuracy,Prob 23 test accuracy,Prob 24 test accuracy,Prob 25 test accuracy,Prob 26 test accuracy,Prob 27 test accuracy,Prob 28 test accuracy,Prob 29 test accuracy,Prob 30 test accuracy,Prob 31 test accuracy,Prob 32 test accuracy,Prob 33 test accuracy,Prob 34 test accuracy,Prob 35 test accuracy,Prob 36 test accuracy,Prob 37 test accuracy,Prob 38 test accuracy,Prob 39 test accuracy,Prob 40 test accuracy,Prob 41 test accuracy,Prob 42 test accuracy,Prob 43 test accuracy,Prob 44 test accuracy,Prob 45 test accuracy,Prob 46 test accuracy,Prob 47 test accuracy,Prob 48 test accuracy,Final test accuracy
0,1.507368421012477,0.6810526315387927,0.6,2.235789473603901,0.6778947368421052,0.5378947368421053,2.150526315749319,0.7273684210526316,0.5684210526315789,2.2526315789072138,1.0105263157894737,1.323157894736842,3.8136842104861612,1.909473684130217,1.7210526315387926,3.7231578946966875,1.0642105263157895,0.7210526315789474,3.66210526311774,1.151578947368421,0.7768421052631579,3.6147368420651085,2.196842105263158,3.6526315789473682,11.677894736761797,1.9031578946966874,1.1326315789473684,11.551578947288112,2.7263157893933747,2.32210526311774,12.196842105263158,2.56,1.9063157894736842,12.556842105182849,2.808421052631579,2.2736842105263158,13.18842105255127,2.8199999999598453,2.2399999999196907,14.050526315789474,12.73684210510254,30.02947368356805,54.886315789473684,30.798947367778577,33.351578946725944,66.09999999903629,38.43157894672595,47.334736842105265,72.49894736842106,2.19,0.96,1.04,3.78,0.69,0.56,3.53,0.94,0.5,3.76,1.54,1.87,5.36,1.89,2.2,6.1,1.36,0.78,6.09,1.92,1.1,6.05,3.71,4.85,14.11,1.56,1.46,13.98,3.67,2.98,14.35,3.17,3.25,14.59,5.71,4.35,15.2,3.76,2.96,16.58,16.93,32.74,51.15,32.82,32.59,53.07,37.09,41.15,53.95,55.59
1,2.190526315789474,0.8515789473684211,0.6978947368421052,2.888421052631579,0.6357894736842106,0.5905263157894737,2.805263157894737,0.9105263157894737,0.6073684210526316,2.923157894736842,1.2063157894736842,1.4621052631578948,4.21578947368421,1.8631578947368421,1.9010526315387926,4.44,1.211578947368421,0.8747368421052631,4.451578947368421,1.4021052631578947,0.8831578947368421,4.350526315789474,2.7578947368421054,4.799999999919691,14.045263157814427,2.4221052631578948,1.1926315789473685,13.946315789313065,3.2147368420651086,2.656842105263158,14.781052631418328,3.0442105263157893,2.2505263157894735,15.067368420892013,3.619999999959845,2.6726315789473682,15.71263157878675,3.5410526315789475,2.98210526311774,16.459999999839383,16.145263157734117,36.6115789472078,62.27157894736842,35.62210526315789,39.81157894704718,72.25052631578947,45.235789473041734,55.36421052599455,76.38,2.11,1.41,0.87,3.24,0.87,0.53,2.97,0.97,0.71,3.02,1.79,1.71,4.66,1.74,1.54,4.98,1.22,1.21,5.19,1.73,1.8,5.33,3.16,4.88,13.93,2.6,1.44,14.05,3.0,3.1,14.74,3.41,3.39,14.87,4.44,2.98,15.38,3.76,3.16,15.96,15.56,34.49,51.53,32.31,34.67,53.25,38.33,42.13,53.57,55.59
2,2.1915789473282663,0.9315789473684211,0.7210526315789474,2.8431578946966876,0.8473684210526315,0.6347368421052632,2.8073684210124767,0.9252631578947368,0.6536842105263158,2.8957894736440557,1.3694736842105264,1.7463157894736843,4.10210526311774,1.9010526315387926,1.8884210525914242,4.3926315789072135,1.4863157894335295,0.9505263157894737,4.478947368380898,1.6231578947368421,1.0463157894736843,4.3515789473282664,2.9294736842105262,4.9463157894335295,13.746315789393375,2.553684210486161,1.351578947368421,13.652631578867059,3.2863157894335293,2.7463157894335297,14.305263157894737,3.0473684210526315,2.3389473684210524,14.609473684210526,3.9684210525914243,2.768421052631579,15.257894736842106,3.4442105262756346,2.9715789473282666,16.00842105255127,15.850526315789473,36.16421052615517,62.68631578850997,34.92947368421053,40.19263157830489,72.45473684082032,45.524210525352075,56.448421052310344,76.49578947239927,2.23,0.77,0.71,2.76,0.68,1.2,2.62,1.42,1.26,2.57,1.46,1.42,4.17,2.08,2.07,4.11,1.38,0.81,4.06,1.58,1.6,3.99,2.23,3.13,12.91,1.7,1.09,12.85,3.37,2.68,13.44,2.94,1.84,13.62,3.86,3.68,14.67,3.38,3.38,15.25,15.33,34.15,51.49,33.81,35.68,52.82,39.13,42.12,53.28,55.59
3,2.115789473644056,0.8231578947368421,0.6863157894736842,2.778947368380898,0.7115789473684211,0.588421052631579,2.715789473644056,0.9284210526315789,0.6189473684210526,2.8178947368019505,1.2505263157894737,1.5494736842105263,4.130526315749319,1.793684210486161,1.7652631578947369,4.330526315749319,1.3,0.911578947368421,4.2842105262756345,1.4873684210526317,0.8926315789473684,4.12210526311774,2.7221052631578946,4.586315789473685,13.625263157814427,2.1694736842105264,1.1378947368421053,13.541052631538793,3.14,2.451578947368421,14.19999999991969,2.943157894736842,2.166315789473684,14.46842105255127,3.6452631578947368,2.622105263157895,15.083157894696688,3.373684210526316,2.877894736842105,15.766315789393374,15.573684210365697,36.5084210519891,62.84842105231034,35.52,40.17789473619963,72.57473684082031,45.113684210526316,56.31684210429945,76.54,2.15,0.97,0.89,2.72,0.85,0.5,2.74,1.12,0.75,2.87,2.06,1.58,4.2,2.12,1.75,4.19,1.76,1.35,4.19,1.9,1.51,4.13,3.19,4.64,13.82,3.07,1.92,13.85,3.63,2.91,14.8,3.97,2.71,15.37,6.23,4.09,16.28,4.69,3.35,16.8,16.88,34.59,51.77,32.6,33.78,53.39,38.79,41.48,54.1,55.59
4,2.1063157893933746,0.8957894736440558,0.6810526315387927,2.7810526315387927,0.7747368421052632,0.6021052631578947,2.744210526275635,0.912631578867059,0.6221052631177401,2.8694736841703716,1.227368421012477,1.490526315749319,4.092631578907214,1.8368421052230033,1.7557894736440558,4.345263157854582,1.3178947368019505,0.9905263157894737,4.296842105182848,1.5242105262354801,0.8905263157091643,4.209473684170372,2.7621052630775855,4.425263157854582,13.883157894415605,2.376842105223003,1.2515789473684211,13.701052631418328,3.1652631578545822,2.6284210525914244,14.444210526155171,3.050526315709164,2.16210526311774,14.705263157894738,3.8999999999598454,2.6042105263157893,15.2,3.34,2.8494736841703716,15.985263157894737,15.934736842105263,36.45368420988384,62.68736842105263,35.13789473652087,39.69157894672595,72.3578947368421,45.47684210462068,55.599999999678765,76.36842105263158,2.6,1.1,1.2,2.8,1.04,0.87,2.49,1.56,0.72,2.56,1.75,2.04,4.23,2.38,2.26,3.64,1.39,1.37,3.5,1.7,1.8,3.27,3.17,3.25,13.26,1.56,1.14,13.43,3.29,2.66,14.33,3.48,2.81,14.56,4.24,2.67,15.62,4.68,4.63,16.44,18.4,34.94,51.94,34.5,34.66,53.1,39.47,41.58,54.01,55.59
5,2.218947368421053,0.9042105263157895,0.6957894736842105,2.897894736842105,0.7757894736842105,0.5747368421052632,2.84,0.8989473684210526,0.6073684210526316,2.943157894736842,1.3421052631578947,1.6589473684210527,4.228421052631579,1.9842105262756347,1.9157894736842105,4.456842105263158,1.3621052631578947,0.871578947368421,4.470526315789474,1.5642105263157895,1.028421052631579,4.356842105263158,2.965263157894737,4.988421052631579,13.82631578943353,2.3947368421052633,1.2547368421052632,13.744210526275635,3.4221052631578948,2.7126315789473683,14.499999999959845,3.0442105263157893,2.2242105263157894,14.767368421012478,3.843157894736842,2.643157894736842,15.324210526275635,3.4926315789473685,3.0410526315789475,16.221052631538793,16.38421052623548,36.598947368099815,62.69157894672595,35.96631578947368,40.64842105247096,72.3884210519891,46.17894736842105,56.416842104620684,76.41473684082031,2.17,1.03,0.92,2.26,0.85,0.51,2.05,1.07,0.57,1.89,1.17,1.39,3.92,2.27,2.29,2.87,0.87,0.66,2.49,1.41,0.92,2.2,1.27,3.74,13.44,2.14,1.55,13.48,3.43,3.1,14.07,2.94,2.48,14.19,3.29,3.1,15.1,3.07,2.53,17.16,16.25,34.01,51.71,32.06,34.66,53.08,37.75,41.45,53.47,55.59
6,2.256842105263158,0.8673684210526316,0.7063157894736842,2.9105263157894736,0.74,0.588421052631579,2.8789473684210525,0.9431578947368421,0.671578947368421,2.977894736842105,1.2863157894736843,1.6526315789473685,4.361052631538793,2.111578947368421,2.026315789473684,4.548421052631579,1.2052631578947368,0.8947368421052632,4.6147368421052635,1.6010526315387927,0.988421052631579,4.472631578947368,3.026315789473684,4.661052631538793,13.957894736761796,2.4168421052631577,1.325263157894737,13.826315789393375,3.3989473684210525,2.694736842105263,14.603157894656533,3.1399999999196906,2.395789473603901,15.042105263077586,3.8747368421052633,2.666315789473684,15.590526315709164,3.8042105263157895,3.225263157894737,16.472631578947368,16.442105263157895,36.5,63.030526314825764,35.78210526299728,40.14631578947368,72.50631578850997,45.95894736777858,56.057894736520865,76.45789473619963,2.33,1.26,0.52,3.29,0.79,0.8,2.92,1.31,0.88,2.84,0.9,1.6,3.97,1.88,2.14,3.93,1.02,0.95,3.68,1.59,1.0,3.16,2.19,4.57,14.28,1.81,1.24,14.45,3.31,3.13,15.51,4.39,3.98,15.39,4.66,4.08,15.99,3.52,2.5,16.41,17.5,34.97,51.78,33.73,36.22,53.51,39.4,41.88,53.94,55.59
7,2.114736842105263,0.8536842105263158,0.7105263157894737,2.8557894736842107,0.7663157894736842,0.6336842105263157,2.8378947368421055,0.8842105263157894,0.6578947368421053,2.9494736842105262,1.3,1.5336842105263158,4.178947368380898,1.914736842105263,1.8757894736842105,4.354736842105263,1.3147368421052632,0.9,4.365263157894737,1.56,0.9705263157894737,4.268421052631579,2.869473684210526,4.725263157894737,13.74631578943353,2.371578947368421,1.2052631578947368,13.647368421012477,3.2894736841703716,2.644210526275635,14.36210526311774,3.115789473644056,2.1989473684210528,14.581052631538792,3.7694736842105265,2.531578947368421,15.21789473680195,3.613684210486161,3.0378947368019507,15.934736842065108,16.026315789393376,36.51157894736842,63.0084210519891,35.272631578304896,40.23789473619963,72.61157894672594,45.416842104620684,56.415789473041734,76.57368420988384,2.25,0.9,0.72,3.25,0.95,0.55,2.87,0.83,0.49,2.63,0.84,1.03,4.03,2.16,2.1,3.82,0.84,0.52,3.51,1.31,0.92,3.11,1.91,4.18,14.57,2.64,0.75,14.41,2.97,2.09,14.95,2.23,1.43,14.73,1.63,1.57,15.11,1.4,2.42,15.35,14.61,34.39,51.44,32.49,35.24,53.35,37.14,40.63,53.54,55.59
8,2.18,0.7989473684210526,0.5947368421052631,2.9389473684210525,0.7052631578947368,0.5968421052631578,2.8557894736842107,0.7631578947368421,0.608421052631579,2.933684210526316,1.1231578947368421,1.503157894736842,4.1957894736842105,1.9578947368421054,1.996842105263158,4.294736842105263,1.243157894736842,0.8431578947368421,4.29578947368421,1.46,0.8936842105263157,4.143157894736842,2.623157894736842,4.497894736842105,13.643157894576223,2.488421052631579,1.1357894736842105,13.549473684049907,3.2452631578545823,2.60210526311774,14.233684210526317,2.8442105263157895,2.0831578947368423,14.553684210446006,3.445263157894737,2.2842105263157895,15.126315789473685,2.962105263157895,2.721052631578947,15.826315789473684,15.81263157878675,36.384210525994554,63.00421052631579,35.48315789457622,40.649473683568054,72.47473684146279,45.54421052599455,56.323157894736845,76.51684210462068,2.76,1.08,1.15,3.24,0.9,0.93,3.27,0.92,0.88,3.34,2.16,1.96,5.01,2.09,2.51,4.55,1.62,1.31,4.56,2.47,1.3,4.32,3.36,3.27,12.42,3.05,1.61,12.41,4.24,3.4,13.53,3.03,2.53,14.08,5.92,4.51,15.23,5.59,5.1,16.3,17.56,33.99,51.64,32.55,33.53,52.87,40.76,39.91,53.37,55.59
9,2.188421052631579,0.848421052631579,0.6652631578947369,2.9273684210526314,0.728421052631579,0.5589473684210526,2.883157894736842,0.848421052631579,0.6073684210526316,2.9694736842105263,1.2494736842105263,1.5,4.288421052631579,2.053684210526316,1.9410526315789474,4.568421052631579,1.4073684210526316,0.9505263157894737,4.59789473680195,1.4705263157894737,0.9126315789473685,4.477894736842106,2.753684210486161,4.851578947288112,13.778947368421052,2.471578947368421,1.223157894736842,13.752631578867058,3.591578947328266,2.8410526315789473,14.466315789393375,2.8978947368019505,2.1126315789473686,14.749473684130217,3.8589473684210525,2.4568421052631577,15.443157894576224,3.3831578946966876,3.04421052623548,16.171578947047184,16.186315789313067,36.8421052631579,63.039999999357526,35.84315789409437,40.175789473362975,72.63789473619963,46.198947368099816,56.815789472720496,76.610526315147,2.45,1.11,0.5,3.1,0.77,0.51,2.98,0.82,0.56,3.07,0.97,1.12,4.38,1.94,2.15,4.45,1.03,0.99,4.49,1.36,1.08,4.0,2.28,4.11,13.37,2.48,1.45,13.39,3.18,2.63,13.98,2.68,1.72,14.36,4.58,3.63,14.74,3.02,2.56,15.89,17.78,34.44,52.18,32.41,36.81,53.58,39.24,42.47,53.99,55.59
