Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Final test accuracy
0,1.8515984378782935,2.7589764102780028,6.027431867683793,7.4084990368118895,13.084348256277357,15.9327992925639,38.01934757143722,2.62,4.96,8.43,10.37,14.8,18.75,37.89,41.01
1,2.3768671249171045,3.6021431804143758,7.21586543010219,9.613785408247377,14.504363203762965,18.628617143278117,44.245728901767016,2.42,4.63,8.77,10.87,15.62,19.23,38.24,41.01
2,2.4094990473383158,3.8463562774344995,7.357972189160861,9.977999768398538,14.515942273056481,19.027568711209437,45.09100095776428,2.32,3.09,8.12,10.08,15.68,18.86,38.43,41.01
3,2.5042368867040707,3.5947746818186785,7.4842893082683535,10.143264665903697,14.885419846464467,18.814934893971206,45.07626396051265,2.86,4.34,8.88,12.47,17.07,20.66,38.38,41.01
4,2.4821313908366682,3.6053011084126427,7.409551679390975,10.158001663054936,15.044368887953016,19.37704607402866,45.23626564466059,2.61,4.57,8.46,10.47,15.98,18.93,38.98,41.01
5,2.5200265265950166,3.832671922862346,7.629553995285137,10.262213286415491,14.931736123437755,19.407572711171234,45.239423572237236,2.52,4.17,9.29,12.68,17.02,20.46,38.63,41.01
6,2.464236465626929,3.577932399268336,7.345340477228027,10.222212865358427,14.933841408836857,19.15283318767761,45.18258086862983,2.62,4.52,8.14,9.59,15.56,18.88,38.61,41.01
7,2.478973462858479,3.7947767871039972,7.379025042328712,9.953788987212342,14.6833124558202,19.085464057436084,45.32152970011186,2.58,4.41,8.86,11.05,16.11,20.05,38.21,41.01
8,2.427393972527977,3.598985252436187,7.33902462125157,9.781155591031174,14.88857777442258,19.37178286077183,45.11836966640664,2.66,4.36,9.01,11.79,17.07,20.18,38.33,41.01
9,2.518973883915543,3.8116190696342627,7.568500721020067,10.379056621588417,15.283318771696235,19.30757165856873,45.248897356653664,2.57,3.88,7.72,10.27,15.55,20.07,38.71,41.01
