Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 7 train accuracy,Prob 8 train accuracy,Prob 9 train accuracy,Prob 10 train accuracy,Prob 11 train accuracy,Prob 12 train accuracy,Prob 13 train accuracy,Prob 14 train accuracy,Prob 15 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Prob 7 test accuracy,Prob 8 test accuracy,Prob 9 test accuracy,Prob 10 test accuracy,Prob 11 test accuracy,Prob 12 test accuracy,Prob 13 test accuracy,Prob 14 test accuracy,Prob 15 test accuracy,Final test accuracy
0,16.1622222205268,22.864444443088107,29.828888886176216,29.022222219509548,53.02888888753255,61.33555554877387,80.53555555013021,87.38222222086588,95.40444444444445,86.57111110026041,20.428888885498047,22.24888888753255,26.517777777777777,28.757777773708767,92.46888888888888,98.76,25.98,28.03,35.32,47.32,62.2,72.54,85.6,89.59,93.38,85.7,31.57,27.62,33.41,47.08,93.43,93.72,93.77
1,23.93999999932183,30.351111110093857,37.499999998982744,43.9666666659885,62.00666666124132,72.07777777167426,89.54222222086588,96.25333333062066,99.85999999321831,87.93111110568576,36.40222222222222,32.06,38.13333333129883,49.244444443088106,99.98,99.98222222222222,27.53,30.54,36.08,47.69,60.11,69.03,83.89,90.52,93.23,79.2,35.79,29.28,32.4,56.09,93.46,93.7,93.77
2,26.582222220187717,32.75777777438694,38.391111110432945,46.90444444173177,62.01999999321831,71.52666666259766,89.5111111070421,96.5777777709961,99.77555555555556,84.99333333062066,39.455555555555556,35.17333333333333,38.397777772352434,57.868888885498045,99.98666666666666,99.9888888888889,28.61,30.26,35.85,46.82,62.25,71.03,85.76,90.3,93.06,75.81,29.54,29.52,29.6,47.33,93.5,93.67,93.77
3,28.204444442749022,33.20222221950955,38.03777777642144,46.05777777235243,62.21999999457465,71.77333332655165,89.686666663954,96.41111110432942,99.7088888888889,80.92222221137153,36.508888884819875,33.66888888753255,36.33555555419922,54.071111105007596,99.9888888888889,99.99555555555555,27.14,29.63,33.79,43.64,60.85,70.5,85.61,90.14,92.81,84.66,45.03,38.1,42.46,52.64,93.49,93.67,93.77
4,28.682222217475044,32.64666666327582,37.64444444240994,46.575555550808375,62.346666668023005,72.60444443901909,90.21333332383898,96.43777777777778,99.58666666666667,85.71777777370876,37.6511111070421,33.246666663953995,37.19777777709961,58.67777776828342,99.98666666666666,99.98666666666666,29.82,31.83,36.37,43.73,60.91,69.5,84.89,90.43,92.81,83.54,39.34,31.58,35.19,65.19,93.52,93.7,93.77
5,28.97111110873752,32.55111110941569,37.27555555352105,44.71333332994249,61.05333333129883,70.73555555148654,89.19333332655165,96.28222222086589,99.55999999321831,84.50666666259765,38.47555555148654,35.54888888719347,38.12666666463216,57.64222221883138,99.99333333333334,99.99333333333334,29.35,29.62,34.38,43.87,64.05,73.27,86.78,89.91,92.64,82.79,42.74,35.26,43.07,63.28,93.45,93.7,93.77
6,29.735555552842882,33.3755555545383,38.273333331977,46.65333332790799,62.495555556911896,72.64,90.50888887803819,96.39333332926432,99.57999999321832,85.2911111070421,38.855555550130205,35.85777777235243,39.828888886176216,59.72444444173177,99.98222222222222,99.9888888888889,28.8,32.43,36.27,45.72,61.62,70.38,84.91,90.16,92.57,82.68,43.83,41.75,45.11,57.07,93.42,93.67,93.77
7,29.6044444410536,32.87999999796549,37.526666662597655,44.94444444444444,61.61111110161676,71.65777777913411,89.78888888075087,96.19555555419922,99.52222222222223,84.81999998914931,38.331111108737524,35.47111111043294,38.408888885498044,57.019999990505646,99.98666666666666,99.99333333333334,30.35,31.96,36.09,45.8,63.95,72.65,86.03,89.88,92.62,85.45,38.49,33.0,36.27,61.15,93.41,93.66,93.77
8,30.095555552164715,33.09999999457465,38.28,46.49777777370877,62.111111104329424,71.91999999457465,90.01333332655165,96.30888887803819,99.50444443766276,84.99777776963975,37.197777774386935,33.74888888821072,36.37777777235243,57.33777777574327,99.99111111111111,99.99111111111111,29.77,31.74,36.15,45.45,63.36,72.8,85.77,89.85,92.49,89.79,50.94,37.99,43.98,62.48,93.48,93.7,93.77
9,29.91333333129883,32.791111105685765,37.25777777574327,44.74444444173177,61.55333333468967,71.81777777642144,89.65777777777778,96.13333332655165,99.48222221544054,87.03111110568577,40.3111111070421,36.83777777777778,39.39333333129883,61.622222220865886,99.98,99.99111111111111,28.71,29.64,32.66,40.73,62.81,72.18,86.28,89.97,92.53,82.41,42.22,39.72,45.03,54.94,93.4,93.63,93.77
