Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 7 train accuracy,Prob 8 train accuracy,Prob 9 train accuracy,Prob 10 train accuracy,Prob 11 train accuracy,Prob 12 train accuracy,Prob 13 train accuracy,Prob 14 train accuracy,Prob 15 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Prob 7 test accuracy,Prob 8 test accuracy,Prob 9 test accuracy,Prob 10 test accuracy,Prob 11 test accuracy,Prob 12 test accuracy,Prob 13 test accuracy,Prob 14 test accuracy,Prob 15 test accuracy,Final test accuracy
0,1.5315789473684212,1.950526315749319,1.3189473684210526,1.5063157894736843,4.071578947368421,5.557894736842106,9.32736842105263,10.830526315789474,23.75368421020508,20.816842105182847,0.8168421052631579,0.7073684210526315,1.2578947368421052,7.532631578907214,36.639999999678764,58.86210526251542,1.89,3.06,2.1,2.1,5.83,7.7,12.11,19.13,23.84,20.54,0.8,0.94,2.21,8.99,39.66,52.07,53.21
1,2.3957894736440557,2.5452631578947367,1.635789473644056,2.368421052591424,4.742105263157895,6.593684210526316,11.570526315628856,15.549473684210525,26.089473684210525,22.221052631418328,0.9368421052631579,0.8621052631578947,1.5610526315789475,8.272631578947369,41.04421052631579,62.16631578850997,1.84,3.23,1.54,2.92,5.23,8.73,14.46,19.48,27.56,23.61,0.59,0.67,1.29,7.96,39.84,52.47,53.21
2,2.5410526315789475,2.718947368421053,1.4473684210526316,2.453684210526316,4.818947368421052,6.708421052591424,11.099999999959845,15.487368421052631,26.51578947336297,21.969473684130218,0.8410526315789474,0.7736842105263158,1.3378947368421052,7.66421052623548,40.222105262836656,61.99684210397821,2.05,1.85,0.78,1.26,3.01,4.68,8.72,12.82,25.22,20.04,0.5,0.5,0.51,7.81,35.11,52.05,53.21
3,2.3915789473282665,2.5905263157091643,1.5189473684210526,2.3642105262756345,4.9452631578545825,6.952631578867059,11.61263157878675,15.83157894736842,26.385263157894737,23.203157894415604,0.8052631578947368,0.7105263157894737,1.325263157894737,8.62,41.08736842105263,61.98631578915245,1.89,3.36,1.64,1.6,5.16,8.19,13.58,20.77,28.9,25.42,0.96,0.9,1.7,7.95,38.47,52.53,53.21
4,2.4663157894335295,2.6042105262756348,1.54,2.438947368380898,4.930526315709164,7.029473684049908,12.148421052310342,17.070526315468236,27.025263157894738,23.142105263157895,0.8631578947368421,0.783157894736842,1.523157894736842,8.643157894736841,40.9673684207314,61.92210526283666,1.79,3.2,2.41,3.52,6.4,9.27,14.95,22.7,29.24,26.43,0.67,0.62,2.96,13.02,41.04,52.25,53.21
5,2.4473684210526314,2.6378947368421053,1.52,2.4957894736842103,4.905263157894737,7.005263157894737,11.79684210494192,16.589473684210525,27.57263157878675,23.75999999967876,0.8547368421052631,0.7568421052631579,1.4926315789473685,8.528421052591424,41.03894736809981,61.99157894608347,1.89,2.81,1.25,2.19,3.69,6.27,11.58,17.9,27.64,24.18,0.79,0.61,1.09,7.86,38.59,52.31,53.21
6,2.4031578946966876,2.6821052631578945,1.4652631578947368,2.576842105263158,5.013684210526316,7.448421052631579,12.50421052631579,17.308421052470962,27.607368420892012,23.865263157894738,1.0147368421052632,0.9347368421052632,1.543157894736842,9.06421052631579,41.3684210519891,61.95789473652087,1.85,2.94,0.97,3.22,4.37,7.62,13.95,21.06,29.53,26.52,1.51,1.33,1.46,11.49,38.45,52.3,53.21
7,2.398947368380898,2.578947368340743,1.6642105263157896,2.531578947207802,4.927368421052631,7.127368420731394,11.861052631578948,17.094736842105263,27.77578947368421,23.777894736842104,0.9263157894335295,0.848421052631579,1.5726315789072136,9.06,41.45263157862613,61.970526314504525,1.57,3.69,2.07,2.43,5.97,9.52,15.73,20.56,28.45,23.28,1.03,0.88,1.78,6.63,41.19,52.46,53.21
8,2.427368421012477,2.6115789473282662,1.6452631578947368,2.511578947328266,4.814736842065108,7.166315789473685,11.94421052631579,17.08105263125771,27.575789473041734,23.83473684146279,0.888421052631579,0.8231578947368421,1.4663157894736842,8.937894736801951,41.413684210205076,61.96631578947368,2.43,2.83,0.69,2.63,3.91,8.09,13.54,20.52,30.16,27.49,0.89,0.86,1.1,12.66,40.33,52.25,53.21
9,2.4768421052631577,2.776842105263158,1.6210526315789473,2.383157894736842,4.84631578943353,6.838947368340743,11.942105262997275,16.414736841944645,27.422105262836656,23.307368420731393,0.9094736842105263,0.8336842105263158,1.5326315789473683,8.315789473523592,40.85157894704718,62.052631577983654,2.07,2.75,1.93,2.45,6.76,9.12,14.11,19.91,28.02,24.35,0.74,0.71,2.07,12.4,41.35,52.26,53.21
10,2.6147368420651085,2.7052631578545823,1.674736842105263,2.4736842104460064,4.990526315789474,7.3842105262354805,12.444210526155171,16.63263157878675,27.303157894415605,23.642105262997276,0.7989473684210526,0.7347368421052631,1.5315789473684212,8.662105263157894,41.29578947336297,62.083157894415606,2.22,3.35,0.9,2.87,3.1,5.82,11.11,17.91,29.63,26.74,0.55,0.53,0.65,5.4,38.72,51.92,53.21
11,2.4810526315789474,2.7747368420651086,1.4905263157894737,2.4263157894335294,4.957894736801951,7.22210526311774,12.031578947288113,16.65473684210526,27.78842105231034,23.755789473362974,0.8389473684210527,0.7726315789473684,1.503157894736842,8.421052631538792,41.78947368388929,61.81578947304173,1.82,2.42,1.15,1.58,5.0,6.55,12.0,17.67,27.69,22.9,0.93,0.85,1.41,9.13,38.44,52.36,53.21
12,2.427368421012477,2.790526315749319,1.7157894736440558,2.5578947367617957,5.224210526315789,7.248421052631579,12.190526315789473,16.762105262836656,27.381052631418328,22.866315789152445,0.9305263157894736,0.8642105263157894,1.6810526315387926,8.597894736761797,40.995789473523594,62.15894736745734,2.18,2.64,2.58,3.32,5.83,8.2,11.76,20.19,28.43,26.01,0.97,0.84,1.75,8.23,40.34,52.25,53.21
13,2.481052631538793,2.501052631538793,1.6136842105263158,2.421052631538793,4.745263157854582,6.878947368421053,11.617894736842105,16.429473683889288,27.254736841784027,23.198947368421052,0.8947368420651084,0.8063157894335296,1.5115789473282664,7.927368420892012,41.29684210462068,62.06421052503084,1.84,3.74,2.36,1.5,5.65,8.67,15.32,20.17,28.36,23.69,0.83,0.76,2.79,11.49,39.62,52.51,53.21
14,2.351578947368421,2.6726315789473682,1.5368421052631578,2.3621052631578947,5.067368421052632,7.4463157894335295,12.701052631498637,17.161052631578947,27.838947368099817,23.897894736842105,0.8578947368421053,0.7852631578947369,1.6410526315789473,9.40421052631579,41.317894736842106,62.26736842041016,2.55,3.08,2.2,3.32,5.63,8.07,12.16,19.91,26.64,22.91,0.82,0.72,1.79,10.38,39.3,52.39,53.21
15,2.5305263157894737,2.7694736841703715,1.5052631578947369,2.6378947368019507,5.1484210525914245,7.401052631538793,12.217894736761796,16.751578947368422,27.574736842105263,23.288421052551268,0.8242105263157895,0.7852631578947369,1.563157894736842,8.917894736842106,41.42421052599455,62.23789473619963,1.83,3.41,1.42,2.19,5.01,6.92,14.51,18.45,28.34,24.81,0.86,0.8,1.61,9.23,39.15,52.2,53.21
16,2.546315789473684,2.745263157894737,1.605263157894737,2.5294736842105263,5.043157894736842,7.3589473684210525,12.412631578867058,17.053684210205077,27.84526315789474,23.750526315147,0.9357894736440558,0.8526315789072137,1.685263157854582,9.010526315789473,41.25473684210527,61.888421051989106,2.07,2.71,1.36,2.25,5.75,8.36,13.79,19.75,28.78,26.12,0.98,0.93,1.57,10.54,38.89,52.22,53.21
17,2.6063157894335296,2.735789473644056,1.4505263157894737,2.437894736842105,4.847368420972322,7.336842105182848,12.259999999839382,17.058947368099815,28.324210525994552,24.09263157894737,0.8473684210526315,0.7821052631578947,1.5778947368421052,8.673684210526316,41.294736841462786,62.21473684210526,2.05,2.95,0.96,1.83,2.76,4.22,10.5,14.8,27.78,24.6,1.09,0.78,0.79,4.06,39.69,52.17,53.21
18,2.389473684210526,2.776842105263158,1.5968421052631578,2.349473684210526,4.956842105182848,7.3157894736039015,12.399999999919691,17.05684210518285,27.563157894576225,23.742105262997274,0.9157894736440558,0.8315789473684211,1.487368421012477,8.53684210518285,41.09578947368421,62.00105263157895,1.96,3.4,1.72,2.15,5.06,7.08,11.65,16.3,23.72,20.1,1.26,1.24,2.09,7.67,34.16,51.91,53.21
19,2.376842105223003,2.761052631578947,1.6231578947368421,2.6842105263157894,5.18,7.125263157894737,11.807368420972322,15.782105262997275,26.3936842103657,22.414736841944645,0.9031578947368422,0.8210526315789474,1.6389473684210527,7.954736842024953,40.76,62.13684210462068,2.15,2.67,0.93,2.57,5.32,7.76,12.03,16.25,25.13,20.99,0.5,0.5,1.46,6.29,38.5,52.03,53.21
20,2.46,2.52421052623548,1.375789473644056,2.40210526311774,5.173684210526316,7.4126315789473685,12.506315789313065,16.798947368421054,27.203157894415604,23.46210526251542,0.9168421052631579,0.8378947368421052,1.581052631498638,8.527368420892012,41.293684210526315,62.03999999967876,1.69,3.18,0.69,1.3,3.03,5.28,10.36,17.83,27.05,23.62,0.51,0.5,1.05,6.85,36.5,52.3,53.21
21,2.3568421051828485,2.6515789473282663,1.60210526311774,2.4063157894335294,4.825263157814428,6.890526315789474,11.538947368260434,15.902105262836658,27.00421052615517,23.069473684210525,0.9094736841703716,0.8094736841703716,1.5463157894335295,8.629473684210526,40.59789473619963,62.17052631482576,2.32,2.28,0.63,0.79,1.79,2.65,7.86,11.0,27.5,20.01,0.5,0.5,0.58,2.19,34.13,52.39,53.21
22,2.5073684210526315,2.56210526311774,1.503157894736842,2.3589473684210525,4.634736842105263,6.6894736841703715,11.394736842024955,16.499999999959844,27.443157894576224,23.662105263077585,0.8578947368421053,0.7894736842105263,1.4631578947368422,8.376842105263158,40.561052631578946,61.898947368421055,2.25,3.31,1.58,1.97,4.49,7.13,12.19,18.6,29.8,23.51,1.25,1.16,1.3,6.86,40.49,52.4,53.21
