"Step","vgg19_normal_small_imagenet_1714153876.3317711_rf_level_2_recording_100 - Test Accuracy","vgg19_normal_small_imagenet_1714153876.3317711_rf_level_2_recording_100 - Test Accuracy__MIN","vgg19_normal_small_imagenet_1714153876.3317711_rf_level_2_recording_100 - Test Accuracy__MAX"
"0","4.12","4.12","4.12"
"1","7.89","7.89","7.89"
"2","11.65","11.65","11.65"
"3","14.73","14.73","14.73"
"4","11.64","11.64","11.64"
"5","13.67","13.67","13.67"
"6","13.14","13.14","13.14"
"7","20.92","20.92","20.92"
"8","19.28","19.28","19.28"
"9","14.46","14.46","14.46"
"10","26.52","26.52","26.52"
"11","28.03","28.03","28.03"
"12","25.89","25.89","25.89"
"13","27.59","27.59","27.59"
"14","29.47","29.47","29.47"
"15","28.17","28.17","28.17"
"16","27.01","27.01","27.01"
"17","29.49","29.49","29.49"
"18","28.38","28.38","28.38"
"19","31.34","31.34","31.34"
"20","30.96","30.96","30.96"
"21","33.54","33.54","33.54"
"22","37.32","37.32","37.32"
"23","32.81","32.81","32.81"
"24","32.24","32.24","32.24"
"25","37.76","37.76","37.76"
"26","35.53","35.53","35.53"
"27","29.16","29.16","29.16"
"28","28.39","28.39","28.39"
"29","30.03","30.03","30.03"
"30","38.16","38.16","38.16"
"31","34.45","34.45","34.45"
"32","36.25","36.25","36.25"
"33","30.61","30.61","30.61"
"34","37.67","37.67","37.67"
"35","32.27","32.27","32.27"
"36","32.3","32.3","32.3"
"37","36.56","36.56","36.56"
"38","35.31","35.31","35.31"
"39","38.98","38.98","38.98"
"40","34.24","34.24","34.24"
"41","35.78","35.78","35.78"
"42","35.67","35.67","35.67"
"43","37.48","37.48","37.48"
"44","33.74","33.74","33.74"
"45","37.13","37.13","37.13"
"46","36.7","36.7","36.7"
"47","40.76","40.76","40.76"
"48","35.04","35.04","35.04"
"49","37.31","37.31","37.31"
"50","36.27","36.27","36.27"
"51","41.83","41.83","41.83"
"52","30.83","30.83","30.83"
"53","44.08","44.08","44.08"
"54","39.89","39.89","39.89"
"55","39.73","39.73","39.73"
"56","41.72","41.72","41.72"
"57","38.89","38.89","38.89"
"58","40.53","40.53","40.53"
"59","38.91","38.91","38.91"
"60","45.64","45.64","45.64"
"61","36.92","36.92","36.92"
"62","41.51","41.51","41.51"
"63","33.66","33.66","33.66"
"64","42.57","42.57","42.57"
"65","42.03","42.03","42.03"
"66","42.85","42.85","42.85"
"67","39.37","39.37","39.37"
"68","42.35","42.35","42.35"
"69","44.05","44.05","44.05"
"70","45.18","45.18","45.18"
"71","44.73","44.73","44.73"
"72","37.51","37.51","37.51"
"73","40.89","40.89","40.89"
"74","46.75","46.75","46.75"
"75","44.01","44.01","44.01"
"76","40.56","40.56","40.56"
"77","41.96","41.96","41.96"
"78","40.53","40.53","40.53"
"79","42.69","42.69","42.69"
"80","47.43","47.43","47.43"
"81","47.51","47.51","47.51"
"82","43.9","43.9","43.9"
"83","46.68","46.68","46.68"
"84","49.4","49.4","49.4"
"85","45.8","45.8","45.8"
"86","41.2","41.2","41.2"
"87","45.25","45.25","45.25"
"88","51.6","51.6","51.6"
"89","47.52","47.52","47.52"
"90","46.9","46.9","46.9"
"91","52.87","52.87","52.87"
"92","51.73","51.73","51.73"
"93","49.2","49.2","49.2"
"94","49.87","49.87","49.87"
"95","51.47","51.47","51.47"
"96","51.24","51.24","51.24"
"97","54.76","54.76","54.76"
"98","50.42","50.42","50.42"
"99","53.03","53.03","53.03"
"100","50.36","50.36","50.36"
"101","51.4","51.4","51.4"
"102","52.4","52.4","52.4"
"103","51.55","51.55","51.55"
