Epoch,test accuracy,training accuracy
0,57.07,"(47.938, 23969, 50000)"
1,66.32,"(64.146, 32073, 50000)"
2,61.92,"(70.416, 35208, 50000)"
3,69.46,"(73.8, 36900, 50000)"
4,75.37,"(75.96, 37980, 50000)"
5,71.87,"(77.148, 38574, 50000)"
6,69.34,"(78.028, 39014, 50000)"
7,76.05,"(78.79, 39395, 50000)"
8,69.88,"(79.414, 39707, 50000)"
9,76.63,"(79.804, 39902, 50000)"
10,71.41,"(80.154, 40077, 50000)"
11,76.22,"(80.584, 40292, 50000)"
12,71.98,"(80.84, 40420, 50000)"
13,72.15,"(80.794, 40397, 50000)"
14,79.23,"(81.284, 40642, 50000)"
15,75.2,"(81.286, 40643, 50000)"
16,78.69,"(81.49, 40745, 50000)"
17,78.11,"(81.756, 40878, 50000)"
18,68.0,"(81.898, 40949, 50000)"
19,78.3,"(82.006, 41003, 50000)"
20,78.96,"(82.16, 41080, 50000)"
21,74.38,"(82.684, 41342, 50000)"
22,76.91,"(82.484, 41242, 50000)"
23,78.1,"(82.31, 41155, 50000)"
24,75.86,"(82.596, 41298, 50000)"
25,76.32,"(82.534, 41267, 50000)"
26,79.21,"(82.546, 41273, 50000)"
27,79.29,"(82.716, 41358, 50000)"
28,78.06,"(82.988, 41494, 50000)"
29,80.92,"(82.906, 41453, 50000)"
30,76.17,"(82.88, 41440, 50000)"
31,78.75,"(82.858, 41429, 50000)"
32,76.16,"(83.348, 41674, 50000)"
33,74.96,"(82.906, 41453, 50000)"
34,79.6,"(83.226, 41613, 50000)"
35,79.69,"(82.89, 41445, 50000)"
36,79.8,"(83.168, 41584, 50000)"
37,73.45,"(83.204, 41602, 50000)"
38,79.22,"(83.504, 41752, 50000)"
39,73.82,"(83.578, 41789, 50000)"
40,79.97,"(83.702, 41851, 50000)"
41,77.48,"(83.604, 41802, 50000)"
42,79.76,"(83.422, 41711, 50000)"
43,80.54,"(83.9, 41950, 50000)"
44,67.44,"(83.784, 41892, 50000)"
45,75.63,"(83.842, 41921, 50000)"
46,75.49,"(83.586, 41793, 50000)"
47,81.91,"(83.912, 41956, 50000)"
48,77.28,"(84.134, 42067, 50000)"
49,76.76,"(83.782, 41891, 50000)"
50,80.09,"(84.454, 42227, 50000)"
51,81.66,"(83.902, 41951, 50000)"
52,76.45,"(84.174, 42087, 50000)"
53,79.54,"(84.13, 42065, 50000)"
54,81.66,"(84.576, 42288, 50000)"
55,77.91,"(84.216, 42108, 50000)"
56,82.2,"(84.422, 42211, 50000)"
57,79.07,"(84.696, 42348, 50000)"
58,80.37,"(84.558, 42279, 50000)"
59,76.34,"(84.602, 42301, 50000)"
60,79.87,"(84.608, 42304, 50000)"
61,80.86,"(84.816, 42408, 50000)"
62,69.31,"(84.94, 42470, 50000)"
63,76.34,"(84.786, 42393, 50000)"
64,79.55,"(84.906, 42453, 50000)"
65,76.97,"(84.868, 42434, 50000)"
66,82.03,"(84.992, 42496, 50000)"
67,79.47,"(85.198, 42599, 50000)"
68,83.49,"(85.248, 42624, 50000)"
69,79.46,"(85.572, 42786, 50000)"
70,81.58,"(85.44, 42720, 50000)"
71,78.29,"(85.406, 42703, 50000)"
72,80.27,"(85.438, 42719, 50000)"
73,78.53,"(85.61, 42805, 50000)"
74,81.82,"(85.626, 42813, 50000)"
75,80.28,"(85.222, 42611, 50000)"
76,81.41,"(85.74, 42870, 50000)"
77,76.98,"(85.694, 42847, 50000)"
78,82.38,"(85.778, 42889, 50000)"
79,77.95,"(85.976, 42988, 50000)"
80,82.97,"(86.186, 43093, 50000)"
81,80.03,"(85.924, 42962, 50000)"
82,81.58,"(86.122, 43061, 50000)"
83,80.12,"(86.21, 43105, 50000)"
84,81.8,"(86.474, 43237, 50000)"
85,82.75,"(86.378, 43189, 50000)"
86,79.3,"(86.574, 43287, 50000)"
87,82.71,"(86.58, 43290, 50000)"
88,82.68,"(86.694, 43347, 50000)"
89,81.15,"(86.284, 43142, 50000)"
90,77.4,"(86.854, 43427, 50000)"
91,84.66,"(86.794, 43397, 50000)"
92,78.89,"(87.034, 43517, 50000)"
93,79.47,"(86.95, 43475, 50000)"
94,79.41,"(87.232, 43616, 50000)"
95,76.19,"(87.19, 43595, 50000)"
96,83.7,"(87.068, 43534, 50000)"
97,74.69,"(87.56, 43780, 50000)"
98,82.26,"(87.524, 43762, 50000)"
99,82.52,"(87.616, 43808, 50000)"
100,82.8,"(87.422, 43711, 50000)"
101,80.83,"(87.784, 43892, 50000)"
102,82.97,"(87.678, 43839, 50000)"
103,81.87,"(87.876, 43938, 50000)"
104,83.7,"(87.718, 43859, 50000)"
105,82.36,"(88.094, 44047, 50000)"
106,80.58,"(88.074, 44037, 50000)"
107,83.71,"(88.36, 44180, 50000)"
108,81.3,"(88.214, 44107, 50000)"
109,83.43,"(88.466, 44233, 50000)"
110,82.44,"(88.614, 44307, 50000)"
111,85.08,"(88.698, 44349, 50000)"
112,84.28,"(88.616, 44308, 50000)"
113,80.66,"(88.964, 44482, 50000)"
114,83.65,"(89.026, 44513, 50000)"
115,81.88,"(89.114, 44557, 50000)"
116,83.35,"(89.208, 44604, 50000)"
117,84.76,"(89.208, 44604, 50000)"
118,84.5,"(89.458, 44729, 50000)"
119,84.31,"(89.538, 44769, 50000)"
120,82.42,"(89.666, 44833, 50000)"
121,85.39,"(89.676, 44838, 50000)"
122,84.02,"(89.704, 44852, 50000)"
123,81.52,"(89.902, 44951, 50000)"
124,82.3,"(89.992, 44996, 50000)"
125,84.73,"(90.23, 45115, 50000)"
126,85.47,"(90.206, 45103, 50000)"
127,81.19,"(90.37, 45185, 50000)"
128,85.21,"(90.408, 45204, 50000)"
129,85.05,"(90.572, 45286, 50000)"
130,84.57,"(90.768, 45384, 50000)"
131,84.35,"(90.94, 45470, 50000)"
132,84.64,"(90.928, 45464, 50000)"
133,86.22,"(91.3, 45650, 50000)"
134,83.14,"(90.942, 45471, 50000)"
